duration,power
215,364.0284744644541
216,363.41601623827836
217,362.8052518214115
218,362.19762334801607
219,361.5930855061341
220,360.990112453986
221,360.39161009901215
222,359.7946673043624
223,359.20067647893956
224,358.60965046941465
225,358.0201371654914
226,357.43491583678394
227,356.8509781659494
228,356.27031890435353
229,355.6919989981184
230,355.11571676427513
231,354.542906287408
232,353.9711869306158
233,353.4035600184709
234,352.8371698477239
235,352.27382172507214
236,351.7126560614995
237,351.15355447469136
238,350.5975099147528
239,350.04262285326763
240,349.4915972554744
241,348.9413385008867
242,348.3947854218521
243,347.8493763721844
244,347.30694322742704
245,346.7662852130633
246,346.22794094638914
247,345.6919365096933
248,345.1576502990109
249,344.626203181661
250,344.095944437217
251,343.56895956766283
252,343.04269793029005
253,342.52008141133024
254,341.9978034342527
255,341.4794458471898
256,340.9613815780443
257,340.44693138675456
258,339.93299015433416
259,339.42241790474543
260,338.9125101653771
261,338.40578662544306
262,337.8998239511409
263,337.3969201091673
264,336.8948151759006
265,336.3957022388842
266,335.8973688149585
267,335.4020182069387
268,334.90737114148976
269,334.41575450191243
270,333.9247097135117
271,333.4367988956053
272,332.9492733609747
273,332.4650404301392
274,331.9809521729768
275,331.5003694051839
276,331.019786637391
277,330.5426773653029
278,330.06571724550895
279,329.5918570874187
280,329.11849230798924
281,328.6478025683963
282,328.1780060275428
283,327.71040901274387
284,327.24415381297183
285,326.7795728204298
286,326.316832266999
287,325.8551915748142
288,325.39593917420996
289,324.937164030695
290,324.48137348911183
291,324.0255829475287
292,323.5730353243025
293,323.12068054613843
294,322.6708259387533
295,322.22188102511564
296,321.7746477262018
297,321.32908697342475
298,320.88440420365487
299,320.44220210182743
300,NA
301,319.9033239173178
302,319.8066478346356
303,319.7099717519534
304,319.6132956692712
305,319.516619586589
306,319.41994350390684
307,319.3232674212246
308,319.22659133854245
309,319.1299152558602
310,319.03323917317806
311,318.93867745505713
312,318.84522360505844
313,318.7517697550597
314,318.658315905061
315,318.5648620550623
316,318.47140820506354
317,318.37795435506484
318,318.28450050506615
319,318.1910466550674
320,318.0975928050687
321,318.00413895506995
322,317.9136619879318
323,317.823322972973
324,317.73298395801424
325,317.6426449430554
326,317.55230592809664
327,317.46196691313787
328,317.3716278981791
329,317.2812888832203
330,317.19094986826155
331,317.1006108533028
332,317.010271838344
333,316.92260147799146
334,316.8352734800135
335,316.7479454820355
336,316.6606174840575
337,316.57328948607955
338,316.48596148810157
339,316.3986334901236
340,316.3113054921456
341,316.2239774941676
342,316.13664949618965
343,316.04932149821167
344,315.96326026428056
345,315.87884292550035
346,315.7944255867202
347,315.71000824794004
348,315.6255909091599
349,315.5411735703797
350,315.4567562315995
351,315.37233889281936
352,315.2879215540392
353,315.20350421525904
354,315.11908687647883
355,315.0346695376987
356,314.9519103028273
357,314.87030661040643
358,314.7887029179855
359,314.70709922556466
360,314.6254955331438
361,314.54389184072295
362,314.46228814830204
363,314.3806844558812
364,314.2990807634603
365,314.2174770710394
366,314.13587337861856
367,314.0542696861977
368,313.97357704153313
369,313.8946932160899
370,313.8158093906466
371,313.7369255652033
372,313.65804173976005
373,313.5791579143168
