duration,power
294,322.0982747276785
295,321.7461646006909
296,321.39499633657306
297,321.04382807245526
298,320.69560535010294
299,320.34780267505147
300,NA
301,319.92692094401275
302,319.8538418880255
303,319.7807628320382
304,319.70768377605094
305,319.6346047200637
306,319.5615256640764
307,319.48844660808913
308,319.4153675521019
309,319.34228849611463
310,319.2692094401273
311,319.1961303841401
312,319.1230513281528
313,319.0499722721655
314,318.9779012021007
315,318.9080100696355
316,318.8381189371703
317,318.7682278047051
318,318.69833667223986
319,318.62844553977465
320,318.55855440730943
321,318.4886632748442
322,318.418772142379
323,318.3488810099137
324,318.2789898774485
325,318.2090987449833
326,318.1392076125181
327,318.06931648005286
328,317.9994504156173
329,317.9326081400668
330,317.8657658645163
331,317.7989235889658
332,317.7320813134153
333,317.6652390378648
334,317.5983967623143
335,317.5315544867638
336,317.4647122112133
337,317.3978699356628
338,317.33102766011234
339,317.2641853845618
340,317.19734310901134
341,317.1305008334608
342,317.06365855791034
343,316.99695516549417
344,316.93302874674583
345,316.8691023279975
346,316.8051759092491
347,316.74124949050076
348,316.6773230717524
349,316.61339665300403
350,316.5494702342557
351,316.48554381550736
352,316.42161739675896
353,316.3576909780106
354,316.2937645592623
355,316.2298381405139
356,316.16591172176555
357,316.1019853030172
358,316.0380588842688
359,315.9752608835126
360,315.91412312331016
361,315.8529853631078
362,315.79184760290536
363,315.73070984270294
364,315.6695720825005
365,315.6084343222981
366,315.54729656209565
367,315.4861588018933
368,315.42502104169085
369,315.3638832814884
370,315.302745521286
371,315.24160776108357
372,315.1804700008812
373,315.1193322406788
374,315.05819448047635
375,314.9971851147988
376,314.9387143636485
377,314.88024361249813
378,314.82177286134777
379,314.7633021101974
380,314.7048313590471
381,314.6463606078967
382,314.58788985674636
383,314.52941910559605
384,314.4709483544457
385,314.4124776032953
386,314.35400685214495
387,314.29553610099464
388,314.2370653498443
389,314.1785945986939
390,314.12012384754354
391,314.06165309639323
392,314.00318234524286
393,313.9471234370933
394,313.89120335221014
395,313.83528326732693
396,313.7793631824438
397,313.7234430975606
398,313.6675230126774
399,313.61160292779425
400,313.5556828429111
401,313.49976275802794
402,313.44384267314473
403,313.3879225882616
404,313.33200250337836
405,313.2760824184952
406,313.22016233361205
407,313.1642422487289
408,313.1083221638457
409,313.05240207896253
410,312.9966354598525
411,312.9431547736663
412,312.88967408748016
413,312.836193401294
414,312.78271271510783
415,312.7292320289217
416,312.67575134273545
417,312.6222706565493
418,312.5687899703631
419,312.51530928417696
420,312.4618285979908
421,312.40834791180464
422,312.3548672256185
423,312.3013865394323
424,312.24790585324615
