X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...82,7,75,15,sprinter,375.481359910061,187.740679955031,555,321.913910279108,1,686.963750814702,70.94896893917317,182.95548705247325,105
1...83,8,75,15,sprinter,375.481359910061,187.740679955031,645,311.704197532447,1,653.450291351905,67.48773042163808,174.0300214925252,120
1...84,9,75,15,sprinter,375.481359910061,187.740679955031,735,303.458525796799,1,626.715727139055,64.72660981856356,166.90994388887165,135
1...85,10,75,15,sprinter,375.481359910061,187.740679955031,825,296.58074909252,1,604.628240424908,62.44543500116171,161.02749829438525,150
1...86,11,75,15,sprinter,375.481359910061,187.740679955031,915,290.702193166192,1,585.893283739721,60.51050632645697,156.03791460648273,165
1...87,12,75,15,sprinter,375.481359910061,187.740679955031,1005,285.58119041226,1,569.674355100812,58.83543065781517,151.71841159765322,180
1...88,13,75,15,sprinter,375.481359910061,187.740679955031,1095,281.051858860982,1,555.403939151784,57.361595543930434,147.91784585120814,195
1...89,14,75,15,sprinter,375.481359910061,187.740679955031,1185,276.996003622303,1,542.681595312056,56.04764385892832,144.52957010756657,210
1...90,15,75,15,sprinter,375.481359910061,187.740679955031,1275,273.326767350172,1,531.215494371499,54.86343575694299,141.47586300921594,225
1...91,16,75,15,sprinter,375.481359910061,187.740679955031,1365,269.978644470979,1,520.787130049225,53.78640411515704,138.69853091348372,240
1...92,17,75,15,sprinter,375.481359910061,187.740679955031,1455,266.901129336148,1,511.229096557308,52.7992594215202,136.1529895065264,255
1...93,18,75,15,sprinter,375.481359910061,187.740679955031,1545,264.054533858695,1,502.410582742243,51.8884916233464,133.80440053338077,270
1...94,19,75,15,sprinter,375.481359910061,187.740679955031,1635,261.407150498945,1,494.227606982585,51.04336159674244,131.62507110898056,285
1...95,20,75,15,sprinter,375.481359910061,187.740679955031,1725,258.933277380719,1,486.596265335078,50.25520382150164,129.5926555319903,300
1...96,2,90,15,sprinter,375.481359910061,187.740679955031,120,456.57694529011,1,1437.06801644006,148.4190307581262,382.72685940635796,30
1...97,3,90,15,sprinter,375.481359910061,187.740679955031,225,393.327716695965,1,1009.62977523605,104.27361193124815,268.8894531216907,45
1...98,4,90,15,sprinter,375.481359910061,187.740679955031,330,365.574819810982,1,884.685193354955,91.36945323512083,235.6136117028189,60
1...99,5,90,15,sprinter,375.481359910061,187.740679955031,435,340.500366453011,1,790.135101601973,81.60440884227958,210.43257694369544,75
1...100,6,90,15,sprinter,375.481359910061,187.740679955031,540,323.869616322521,1,730.019816852432,75.39575887289396,194.42238544871938,90
