"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...139",7,120,15,"time trialist",382.014826073375,191.007413036687,825,0,1005.18594188881
"1...140",8,120,15,"time trialist",382.014826073375,191.007413036687,960,0,1001.03464016379
"1...141",9,120,15,"time trialist",382.014826073375,191.007413036687,1095,0,998.842633045582
"1...142",10,120,15,"time trialist",382.014826073375,191.007413036687,1230,0,997.680244481128
"1...143",11,120,15,"time trialist",382.014826073375,191.007413036687,1365,0,997.062453381474
"1...144",12,120,15,"time trialist",382.014826073375,191.007413036687,1500,0,996.733713004211
"1...145",13,120,15,"time trialist",382.014826073375,191.007413036687,1635,0,996.55867125145
"1...146",14,120,15,"time trialist",382.014826073375,191.007413036687,1770,0,996.465436496158
"1...147",15,120,15,"time trialist",382.014826073375,191.007413036687,1905,0,996.415766672618
"1...148",16,120,15,"time trialist",382.014826073375,191.007413036687,2040,0,996.389303051479
"1...149",17,120,15,"time trialist",382.014826073375,191.007413036687,2175,0,996.375202755403
"1...150",18,120,15,"time trialist",382.014826073375,191.007413036687,2310,0,996.367689656955
"1...151",19,120,15,"time trialist",382.014826073375,191.007413036687,2445,0,996.363686374248
"1...152",20,120,15,"time trialist",382.014826073375,191.007413036687,2580,0,996.361553246741
"1...153",2,135,15,"time trialist",382.014826073375,191.007413036687,165,0,1311.06365180307
"1...154",3,135,15,"time trialist",382.014826073375,191.007413036687,315,0,1164.64198468991
"1...155",4,135,15,"time trialist",382.014826073375,191.007413036687,465,0,1107.1292775702
"1...156",5,135,15,"time trialist",382.014826073375,191.007413036687,615,0,1081.53794988053
"1...157",6,135,15,"time trialist",382.014826073375,191.007413036687,765,0,1069.52371938939
"1...158",7,135,15,"time trialist",382.014826073375,191.007413036687,915,0,1063.74182239508
"1...159",8,135,15,"time trialist",382.014826073375,191.007413036687,1065,0,1060.92606577878
"1...160",9,135,15,"time trialist",382.014826073375,191.007413036687,1215,0,1059.54688735523
"1...161",10,135,15,"time trialist",382.014826073375,191.007413036687,1365,0,1058.86945053481
"1...162",11,135,15,"time trialist",382.014826073375,191.007413036687,1515,0,1058.53624098762
"1...163",12,135,15,"time trialist",382.014826073375,191.007413036687,1665,0,1058.37223442101
"1...164",13,135,15,"time trialist",382.014826073375,191.007413036687,1815,0,1058.29148297797
"1...165",14,135,15,"time trialist",382.014826073375,191.007413036687,1965,0,1058.25171707399
"1...166",15,135,15,"time trialist",382.014826073375,191.007413036687,2115,0,1058.23213283764
"1...167",16,135,15,"time trialist",382.014826073375,191.007413036687,2265,0,1058.22248744823
"1...168",17,135,15,"time trialist",382.014826073375,191.007413036687,2415,0,1058.21773692515
"1...169",18,135,15,"time trialist",382.014826073375,191.007413036687,2565,0,1058.21539718674
"1...170",19,135,15,"time trialist",382.014826073375,191.007413036687,2715,0,1058.21424480797
"1...171",20,135,15,"time trialist",382.014826073375,191.007413036687,2865,0,1058.21367723172
"1...172",2,150,15,"time trialist",382.014826073375,191.007413036687,180,0,1338.09421075959
"1...173",3,150,15,"time trialist",382.014826073375,191.007413036687,345,0,1203.79305468053
"1...174",4,150,15,"time trialist",382.014826073375,191.007413036687,510,0,1153.56222850678
"1...175",5,150,15,"time trialist",382.014826073375,191.007413036687,675,0,1132.50608263316
"1...176",6,150,15,"time trialist",382.014826073375,191.007413036687,840,0,1123.26203834122
"1...177",7,150,15,"time trialist",382.014826073375,191.007413036687,1005,0,1119.12161991813
"1...178",8,150,15,"time trialist",382.014826073375,191.007413036687,1170,0,1117.25050162245
"1...179",9,150,15,"time trialist",382.014826073375,191.007413036687,1335,0,1116.40150676708
"1...180",10,150,15,"time trialist",382.014826073375,191.007413036687,1500,0,1116.01558383256
"1...181",11,150,15,"time trialist",382.014826073375,191.007413036687,1665,0,1115.84001160237
"1...182",12,150,15,"time trialist",382.014826073375,191.007413036687,1830,0,1115.76010647065
"1...183",13,150,15,"time trialist",382.014826073375,191.007413036687,1995,0,1115.72373440464
"1...184",14,150,15,"time trialist",382.014826073375,191.007413036687,2160,0,1115.70717688961
"1...185",15,150,15,"time trialist",382.014826073375,191.007413036687,2325,0,1115.69963920829
"1...186",16,150,15,"time trialist",382.014826073375,191.007413036687,2490,0,1115.69620768139
"1...187",17,150,15,"time trialist",382.014826073375,191.007413036687,2655,0,1115.6946454684
"1...188",18,150,15,"time trialist",382.014826073375,191.007413036687,2820,0,1115.69393426384
"1...189",19,150,15,"time trialist",382.014826073375,191.007413036687,2985,0,1115.69361048424
"1...190",20,150,15,"time trialist",382.014826073375,191.007413036687,3150,0,1115.69346308178
"1...191",2,165,15,"time trialist",382.014826073375,191.007413036687,195,0,1364.40261160458
"1...192",3,165,15,"time trialist",382.014826073375,191.007413036687,375,0,1241.77268103085
"1...193",4,165,15,"time trialist",382.014826073375,191.007413036687,555,0,1198.25477427517
"1...194",5,165,15,"time trialist",382.014826073375,191.007413036687,735,0,1181.12649644519
"1...195",6,165,15,"time trialist",382.014826073375,191.007413036687,915,0,1174.11340753276
"1...196",7,165,15,"time trialist",382.014826073375,191.007413036687,1095,0,1171.19567637387
"1...197",8,165,15,"time trialist",382.014826073375,191.007413036687,1275,0,1169.97372146146
"1...198",9,165,15,"time trialist",382.014826073375,191.007413036687,1455,0,1169.46054537797
"1...199",10,165,15,"time trialist",382.014826073375,191.007413036687,1635,0,1169.2447800097
"1...200",11,165,15,"time trialist",382.014826073375,191.007413036687,1815,0,1169.15401698722
"1...201",12,165,15,"time trialist",382.014826073375,191.007413036687,1995,0,1169.11582913118
"1...202",13,165,15,"time trialist",382.014826073375,191.007413036687,2175,0,1169.09976049209
"1...203",14,165,15,"time trialist",382.014826073375,191.007413036687,2355,0,1169.09299890429
"1...204",15,165,15,"time trialist",382.014826073375,191.007413036687,2535,0,1169.09015362485
"1...205",16,165,15,"time trialist",382.014826073375,191.007413036687,2715,0,1169.08895632218
"1...206",17,165,15,"time trialist",382.014826073375,191.007413036687,2895,0,1169.08845249202
"1...207",18,165,15,"time trialist",382.014826073375,191.007413036687,3075,0,1169.08824047787
"1...208",19,165,15,"time trialist",382.014826073375,191.007413036687,3255,0,1169.08815126125
"1...209",20,165,15,"time trialist",382.014826073375,191.007413036687,3435,0,1169.08811371845
"1...210",2,180,15,"time trialist",382.014826073375,191.007413036687,210,0,1389.93935255567
"1...211",3,180,15,"time trialist",382.014826073375,191.007413036687,405,0,1278.44747448924
"1...212",4,180,15,"time trialist",382.014826073375,191.007413036687,600,0,1241.02807173491
"1...213",5,180,15,"time trialist",382.014826073375,191.007413036687,795,0,1227.23824515969
"1...214",6,180,15,"time trialist",382.014826073375,191.007413036687,990,0,1221.9835478405
"1...215",7,180,15,"time trialist",382.014826073375,191.007413036687,1185,0,1219.95579490553
"1...216",8,180,15,"time trialist",382.014826073375,191.007413036687,1380,0,1219.16949489234
"1...217",9,180,15,"time trialist",382.014826073375,191.007413036687,1575,0,1218.86401901371
"1...218",10,180,15,"time trialist",382.014826073375,191.007413036687,1770,0,1218.74525574016
"1...219",11,180,15,"time trialist",382.014826073375,191.007413036687,1965,0,1218.69906972893
"1...220",12,180,15,"time trialist",382.014826073375,191.007413036687,2160,0,1218.68110640893
"1...221",13,180,15,"time trialist",382.014826073375,191.007413036687,2355,0,1218.67411955977
"1...222",14,180,15,"time trialist",382.014826073375,191.007413036687,2550,0,1218.67140197334
"1...223",15,180,15,"time trialist",382.014826073375,191.007413036687,2745,0,1218.67034494122
"1...224",16,180,15,"time trialist",382.014826073375,191.007413036687,2940,0,1218.6699337971
"1...225",17,180,15,"time trialist",382.014826073375,191.007413036687,3135,0,1218.66977387796
"1...226",18,180,15,"time trialist",382.014826073375,191.007413036687,3330,0,1218.66971167559
"1...227",19,180,15,"time trialist",382.014826073375,191.007413036687,3525,0,1218.66968748127
"1...228",20,180,15,"time trialist",382.014826073375,191.007413036687,3720,0,1218.66967807061
"1...229",2,195,15,"time trialist",382.014826073375,191.007413036687,225,0,1414.6624177691
"1...230",3,195,15,"time trialist",382.014826073375,191.007413036687,435,0,1313.71161819843
"1...231",4,195,15,"time trialist",382.014826073375,191.007413036687,645,0,1281.7600542693
"1...232",5,195,15,"time trialist",382.014826073375,191.007413036687,855,0,1270.76123296236
"1...233",6,195,15,"time trialist",382.014826073375,191.007413036687,1065,0,1266.86708586186
"1...234",7,195,15,"time trialist",382.014826073375,191.007413036687,1275,0,1265.47468867049
"1...235",8,195,15,"time trialist",382.014826073375,191.007413036687,1485,0,1264.97506722147
"1...236",9,195,15,"time trialist",382.014826073375,191.007413036687,1695,0,1264.79556643044
"1...237",10,195,15,"time trialist",382.014826073375,191.007413036687,1905,0,1264.7310473409
"1...238",11,195,15,"time trialist",382.014826073375,191.007413036687,2115,0,1264.70785306931
"1...239",12,195,15,"time trialist",382.014826073375,191.007413036687,2325,0,1264.69951436371
"1...240",13,195,15,"time trialist",382.014826073375,191.007413036687,2535,0,1264.69651640482
"1...241",14,195,15,"time trialist",382.014826073375,191.007413036687,2745,0,1264.69543856062
"1...242",15,195,15,"time trialist",382.014826073375,191.007413036687,2955,0,1264.69505104654
"1...243",16,195,15,"time trialist",382.014826073375,191.007413036687,3165,0,1264.69491172463
"1...244",17,195,15,"time trialist",382.014826073375,191.007413036687,3375,0,1264.69486163458
"1...245",18,195,15,"time trialist",382.014826073375,191.007413036687,3585,0,1264.69484362583
"1...246",19,195,15,"time trialist",382.014826073375,191.007413036687,3795,0,1264.69483715119
"1...247",20,195,15,"time trialist",382.014826073375,191.007413036687,4005,0,1264.69483482338
"1...248",2,210,15,"time trialist",382.014826073375,191.007413036687,240,0,1438.53729094703
"1...249",3,210,15,"time trialist",382.014826073375,191.007413036687,465,0,1347.48585840704
"1...250",4,210,15,"time trialist",382.014826073375,191.007413036687,690,0,1320.37886624097
"1...251",5,210,15,"time trialist",382.014826073375,191.007413036687,915,0,1311.67975270378
"1...252",6,210,15,"time trialist",382.014826073375,191.007413036687,1140,0,1308.82172721856
"1...253",7,210,15,"time trialist",382.014826073375,191.007413036687,1365,0,1307.87553114574
"1...254",8,210,15,"time trialist",382.014826073375,191.007413036687,1590,0,1307.56148474716
"1...255",9,210,15,"time trialist",382.014826073375,191.007413036687,1815,0,1307.45716404665
"1...256",10,210,15,"time trialist",382.014826073375,191.007413036687,2040,0,1307.42250089453
"1...257",11,210,15,"time trialist",382.014826073375,191.007413036687,2265,0,1307.41098213337
"1...258",12,210,15,"time trialist",382.014826073375,191.007413036687,2490,0,1307.40715426638
"1...259",13,210,15,"time trialist",382.014826073375,191.007413036687,2715,0,1307.40588219248
"1...260",14,210,15,"time trialist",382.014826073375,191.007413036687,2940,0,1307.40545945641
"1...261",15,210,15,"time trialist",382.014826073375,191.007413036687,3165,0,1307.40531897243
"1...262",16,210,15,"time trialist",382.014826073375,191.007413036687,3390,0,1307.40527228667
"1...263",17,210,15,"time trialist",382.014826073375,191.007413036687,3615,0,1307.40525677202
"1...264",18,210,15,"time trialist",382.014826073375,191.007413036687,3840,0,1307.40525161618
"1...265",19,210,15,"time trialist",382.014826073375,191.007413036687,4065,0,1307.40524990278
"1...266",20,210,15,"time trialist",382.014826073375,191.007413036687,4290,0,1307.40524933338
"1...267",2,225,15,"time trialist",382.014826073375,191.007413036687,255,0,1461.53684283075
"1...268",3,225,15,"time trialist",382.014826073375,191.007413036687,495,0,1379.71581633935
"1...269",4,225,15,"time trialist",382.014826073375,191.007413036687,735,0,1356.85550598081
"1...270",5,225,15,"time trialist",382.014826073375,191.007413036687,975,0,1350.02723393462
"1...271",6,225,15,"time trialist",382.014826073375,191.007413036687,1215,0,1347.94751825097
"1...272",7,225,15,"time trialist",382.014826073375,191.007413036687,1455,0,1347.3103446894
"1...273",8,225,15,"time trialist",382.014826073375,191.007413036687,1695,0,1347.11477820086
"1...274",9,225,15,"time trialist",382.014826073375,191.007413036687,1935,0,1347.05472014412
"1...275",10,225,15,"time trialist",382.014826073375,191.007413036687,2175,0,1347.03627330975
"1...276",11,225,15,"time trialist",382.014826073375,191.007413036687,2415,0,1347.03060706842
"1...277",12,225,15,"time trialist",382.014826073375,191.007413036687,2655,0,1347.02886656356
"1...278",13,225,15,"time trialist",382.014826073375,191.007413036687,2895,0,1347.02833192835
"1...279",14,225,15,"time trialist",382.014826073375,191.007413036687,3135,0,1347.02816770288
"1...280",15,225,15,"time trialist",382.014826073375,191.007413036687,3375,0,1347.02811725723
"1...281",16,225,15,"time trialist",382.014826073375,191.007413036687,3615,0,1347.02810176169
"1...282",17,225,15,"time trialist",382.014826073375,191.007413036687,3855,0,1347.02809700187
"1...283",18,225,15,"time trialist",382.014826073375,191.007413036687,4095,0,1347.02809553978
"1...284",19,225,15,"time trialist",382.014826073375,191.007413036687,4335,0,1347.02809509067
"1...285",20,225,15,"time trialist",382.014826073375,191.007413036687,4575,0,1347.02809495271
"1...286",2,240,15,"time trialist",382.014826073375,191.007413036687,270,0,1483.64110645614
"1...287",3,240,15,"time trialist",382.014826073375,191.007413036687,525,0,1410.3698114293
"1...288",4,240,15,"time trialist",382.014826073375,191.007413036687,780,0,1391.19633992505
"1...289",5,240,15,"time trialist",382.014826073375,191.007413036687,1035,0,1385.87298383271
"1...290",6,240,15,"time trialist",382.014826073375,191.007413036687,1290,0,1384.37102070346
"1...291",7,240,15,"time trialist",382.014826073375,191.007413036687,1545,0,1383.94533057827
"1...292",8,240,15,"time trialist",382.014826073375,191.007413036687,1800,0,1383.82452620788
"1...293",9,240,15,"time trialist",382.014826073375,191.007413036687,2055,0,1383.79023134437
"1...294",10,240,15,"time trialist",382.014826073375,191.007413036687,2310,0,1383.78049445628
"1...295",11,240,15,"time trialist",382.014826073375,191.007413036687,2565,0,1383.77772990939
"1...296",12,240,15,"time trialist",382.014826073375,191.007413036687,2820,0,1383.77694497864
"1...297",13,240,15,"time trialist",382.014826073375,191.007413036687,3075,0,1383.77672211473
"1...298",14,240,15,"time trialist",382.014826073375,191.007413036687,3330,0,1383.77665883736
"1...299",15,240,15,"time trialist",382.014826073375,191.007413036687,3585,0,1383.77664087112
"1...300",16,240,15,"time trialist",382.014826073375,191.007413036687,3840,0,1383.77663576999
"1...301",17,240,15,"time trialist",382.014826073375,191.007413036687,4095,0,1383.77663432164
"1...302",18,240,15,"time trialist",382.014826073375,191.007413036687,4350,0,1383.77663391041
"1...303",19,240,15,"time trialist",382.014826073375,191.007413036687,4605,0,1383.77663379365
"1...304",20,240,15,"time trialist",382.014826073375,191.007413036687,4860,0,1383.7766337605
"1...305",2,255,15,"time trialist",382.014826073375,191.007413036687,285,0,1504.83695598441
"1...306",3,255,15,"time trialist",382.014826073375,191.007413036687,555,0,1439.43637499787
"1...307",4,255,15,"time trialist",382.014826073375,191.007413036687,825,0,1423.43596286242
"1...308",5,255,15,"time trialist",382.014826073375,191.007413036687,1095,0,1419.31120187289
"1...309",6,255,15,"time trialist",382.014826073375,191.007413036687,1365,0,1418.23371946036
"1...310",7,255,15,"time trialist",382.014826073375,191.007413036687,1635,0,1417.95128695063
"1...311",8,255,15,"time trialist",382.014826073375,191.007413036687,1905,0,1417.87718834119
"1...312",9,255,15,"time trialist",382.014826073375,191.007413036687,2175,0,1417.85774334123
"1...313",10,255,15,"time trialist",382.014826073375,191.007413036687,2445,0,1417.85264025702
"1...314",11,255,15,"time trialist",382.014826073375,191.007413036687,2715,0,1417.85130099799
"1...315",12,255,15,"time trialist",382.014826073375,191.007413036687,2985,0,1417.85094951988
"1...316",13,255,15,"time trialist",382.014826073375,191.007413036687,3255,0,1417.85085727708
"1...317",14,255,15,"time trialist",382.014826073375,191.007413036687,3525,0,1417.85083306864
"1...318",15,255,15,"time trialist",382.014826073375,191.007413036687,3795,0,1417.85082671531
"1...319",16,255,15,"time trialist",382.014826073375,191.007413036687,4065,0,1417.85082504793
"1...320",17,255,15,"time trialist",382.014826073375,191.007413036687,4335,0,1417.85082461034
"1...321",18,255,15,"time trialist",382.014826073375,191.007413036687,4605,0,1417.8508244955
