X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...52,15,90,15,moyenne,331.614571833768,165.807285916884,1485,0,662.735528186398,86.5979500692566,199.85114783152972,225
1...53,16,90,15,moyenne,331.614571833768,165.807285916884,1590,0,660.193590848237,86.2658016430335,199.08461416441594,240
1...54,17,90,15,moyenne,331.614571833768,165.807285916884,1695,0,658.215812366107,86.00737040619875,198.4882053663365,255
1...55,18,90,15,moyenne,331.614571833768,165.807285916884,1800,0,656.673371034948,85.80582355726793,198.02307462053437,270
1...56,19,90,15,moyenne,331.614571833768,165.807285916884,1905,0,655.468242041962,85.64835244560562,197.6596620641072,285
1...57,20,90,15,moyenne,331.614571833768,165.807285916884,2010,0,654.52531399100906,85.52514245790695,197.37531748728762,300
1...58,2,120,15,moyenne,331.614571833768,165.807285916884,150,0,1381.19169209759,180.4767725606203,416.50512655697014,30
1...59,3,120,15,moyenne,331.614571833768,165.807285916884,285,0,1106.45257016375,144.57731681783645,333.65619732729755,45
1...60,4,120,15,moyenne,331.614571833768,165.807285916884,420,0,977.623584245477,127.74356396237496,294.8071849917201,60
1...61,5,120,15,moyenne,331.614571833768,165.807285916884,555,0,905.792774669651,118.35761648178034,273.14625218692356,75
1...62,6,120,15,moyenne,331.614571833768,165.807285916884,690,0,861.846274515739,112.6152401277294,259.89396960148235,90
1...63,7,120,15,moyenne,331.614571833768,165.807285916884,825,0,833.417624852325,108.9005414592791,251.32117091347274,105
1...64,8,120,15,moyenne,331.614571833768,165.807285916884,960,0,814.358638773039,106.41015267722416,245.5738402175105,120
1...65,9,120,15,moyenne,331.614571833768,165.807285916884,1095,0,801.273415998803,104.70034021017669,241.62792713477796,135
1...66,10,120,15,moyenne,331.614571833768,165.807285916884,1230,0,792.142098634285,103.50717441240667,238.87433361383486,150
1...67,11,120,15,moyenne,331.614571833768,165.807285916884,1365,0,785.697320546273,102.66505180491588,236.93087918347805,165
1...68,12,120,15,moyenne,331.614571833768,165.807285916884,1500,0,781.112200196567,102.06592589990827,235.54821366176978,180
1...69,13,120,15,moyenne,331.614571833768,165.807285916884,1635,0,777.831563522461,101.63725352787316,234.55892158815413,195
1...70,14,120,15,moyenne,331.614571833768,165.807285916884,1770,0,775.474737435136,101.32929311357243,233.84820912630659,210
1...71,15,120,15,moyenne,331.614571833768,165.807285916884,1905,0,773.776642183221,101.10740736641688,233.33614017754934,225
1...72,16,120,15,moyenne,331.614571833768,165.807285916884,2040,0,772.550593542581,100.94720273810131,232.9664191988058,240
1...73,17,120,15,moyenne,331.614571833768,165.807285916884,2175,0,771.664027653287,100.8313574493716,232.69907090817082,255
1...74,18,120,15,moyenne,331.614571833768,165.807285916884,2310,0,771.022242304094,100.74749700540735,232.5055373895308,270
1...75,19,120,15,moyenne,331.614571833768,165.807285916884,2445,0,770.557285384141,100.68674227833148,232.3653273506951,285
