"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...43",15,75,120,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,4.43387010415833,276.297732082202,146.891147535552,2805,220.216958728444,249.561144698227,1,317.875935426473,-41.5782033442711,41.5782033442711,-13.9953032649883
"1...44",18,72.5,60,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,4.28607443401972,266.615892669203,148.178582433898,2370,229.919505070415,252.759717967649,1,295.745231151511,-29.1293384823081,29.1293384823081,-10.3596558326798
"1...45",21,70,60,75,"faible",287.076677829212,2.3489525614129,5.91182680554444,4.13827876388111,257.031253494026,148.178582433898,2775,222.538687454125,249.764778626486,1,292.114043341993,-35.0827898479663,35.0827898479663,-12.7772340217064
"1...46",2,95,420,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,5.4941818928433,346.978849651784,145.97155117959,600,249.914080058634,279.683403859817,1,392.617328487886,-45.6384788361026,45.6384788361026,-12.3414588082103
"1...47",3,90,300,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,5.20501442479891,326.813839636091,146.118686596544,870,240.157407619186,272.207087891756,1,374.939063576226,-48.1252239401348,48.1252239401348,-13.7157178031865
"1...48",5,85,240,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.91584695675453,307.076898922407,146.247430086379,1410,229.871971092492,262.732333200338,1,355.875448215367,-48.7985492929602,48.7985492929602,-14.7215857983285
"1...49",7,82.5,180,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.77126322273234,297.362426074073,146.462002569436,1710,230.964746252455,259.005360962325,1,336.97548255331,-39.6130564792375,39.6130564792375,-12.4895756474509
"1...50",9,80,120,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.62667948871014,287.747136375545,146.891147535552,1770,235.361535389428,258.34205455658,1,318.080437125881,-30.3333007503361,30.3333007503361,-10.0138396062175
"1...51",12,77.5,120,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.48209575468795,278.228418434925,146.891147535552,2400,227.837825713635,252.52038635678,1,311.26012215703,-33.0317037221046,33.0317037221046,-11.2069027462127
"1...52",15,75,120,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.33751202066576,268.803660860316,146.891147535552,3030,220.784885743239,248.101942429364,1,305.851132396112,-37.0474715357967,37.0474715357967,-12.8938179827433
"1...53",18,72.5,60,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.19292828664357,259.470252259817,148.178582433898,2640,228.92565330147,250.710001896398,1,286.383766092917,-26.9135138330992,26.9135138330992,-9.86106648598767
"1...54",21,70,60,90,"faible",287.076677829212,2.3489525614129,5.78334936088768,4.04834455262138,250.225581241532,148.178582433898,3090,221.5328272318,247.731618842695,1,282.899972235711,-32.6743909941792,32.6743909941792,-12.2576720553216
