"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...979",11,120,90,"elevee",312.947910877278,156.473955438639,2190,259.048753567673,1,321.357300595032
"1...980",12,120,90,"elevee",312.947910877278,156.473955438639,2400,257.319193769308,1,319.406590783801
"1...981",13,120,90,"elevee",312.947910877278,156.473955438639,2610,255.751652645538,1,317.614993452488
"1...982",14,120,90,"elevee",312.947910877278,156.473955438639,2820,254.318061422004,1,315.957899316784
"1...983",15,120,90,"elevee",312.947910877278,156.473955438639,3030,252.997074197167,1,314.416080350526
"1...984",16,120,90,"elevee",312.947910877278,156.473955438639,3240,251.772082837354,1,312.974212715031
"1...985",17,120,90,"elevee",312.947910877278,156.473955438639,3450,250.629912505288,1,311.619877158324
"1...986",18,120,90,"elevee",312.947910877278,156.473955438639,3660,249.559936431836,1,310.342862103884
"1...987",19,120,90,"elevee",312.947910877278,156.473955438639,3870,248.553458342073,1,309.134665228716
"1...988",20,120,90,"elevee",312.947910877278,156.473955438639,4080,247.603271128187,1,307.988129043164
"1...989",2,150,90,"elevee",312.947910877278,156.473955438639,330,308.754102534943,1,370.604841451831
"1...990",3,150,90,"elevee",312.947910877278,156.473955438639,570,289.572332087485,1,358.637421054001
"1...991",4,150,90,"elevee",312.947910877278,156.473955438639,810,280.145262865743,1,351.447042011724
"1...992",5,150,90,"elevee",312.947910877278,156.473955438639,1050,274.054070149738,1,346.177191162372
"1...993",6,150,90,"elevee",312.947910877278,156.473955438639,1290,269.586230120485,1,341.971964387435
"1...994",7,150,90,"elevee",312.947910877278,156.473955438639,1530,266.065171685057,1,338.454461196563
"1...995",8,150,90,"elevee",312.947910877278,156.473955438639,1770,263.160693758974,1,335.422342252788
"1...996",9,150,90,"elevee",312.947910877278,156.473955438639,2010,260.688574752698,1,332.753137930267
"1...997",10,150,90,"elevee",312.947910877278,156.473955438639,2250,258.536076506729,1,330.366532746756
"1...998",11,150,90,"elevee",312.947910877278,156.473955438639,2490,256.629371967537,1,328.206745656608
"1...999",12,150,90,"elevee",312.947910877278,156.473955438639,2730,254.917551317152,1,326.233327837808
"1...1000",13,150,90,"elevee",312.947910877278,156.473955438639,2970,253.364050862386,1,324.415944401216
"1...1001",14,150,90,"elevee",312.947910877278,156.473955438639,3210,251.9417346383,1,322.731222021903
"1...1002",15,150,90,"elevee",312.947910877278,156.473955438639,3450,250.629912505288,1,321.160746631388
"1...1003",16,150,90,"elevee",312.947910877278,156.473955438639,3690,249.412448723237,1,319.689738667907
"1...1004",17,150,90,"elevee",312.947910877278,156.473955438639,3930,248.276516009093,1,318.306146453905
