X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...1689,9,180,150,elevee,331.614571833768,165.807285916884,2790,0,314.792581127166,94.75560437078859,94.92724622637073,1350
1...1690,10,180,150,elevee,331.614571833768,165.807285916884,3120,0,314.417870537274,94.64281286762731,94.81425041083104,1500
1...1691,11,180,150,elevee,331.614571833768,165.807285916884,3450,0,314.187994246668,94.5736178860655,94.74493008834496,1650
1...1692,12,180,150,elevee,331.614571833768,165.807285916884,3780,0,314.046521622402,94.53103326108405,94.70226832487549,1800
1...1693,13,180,150,elevee,331.614571833768,165.807285916884,4110,0,313.959284883607,94.50477416095451,94.67596165858137,1950
1...1694,14,180,150,elevee,331.614571833768,165.807285916884,4440,0,313.905426957532,94.48856240552773,94.65972053691497,2100
1...1695,15,180,150,elevee,331.614571833768,165.807285916884,4770,0,313.872151597591,94.47854620110967,94.64968618897997,2250
1...1696,16,180,150,elevee,331.614571833768,165.807285916884,5100,0,313.851583440118,94.47235498724697,94.64348376025097,2400
1...1697,2,210,150,elevee,331.614571833768,165.807285916884,510,0,362.393616363099,109.0839752818996,109.28157178351015,300
1...1698,3,210,150,elevee,331.614571833768,165.807285916884,870,0,341.543695997738,102.80794806985898,102.99417607286185,450
1...1699,4,210,150,elevee,331.614571833768,165.807285916884,1230,0,332.575093295989,100.1083121180752,100.28964995624574,600
1...1700,5,210,150,elevee,331.614571833768,165.807285916884,1590,0,328.140226565666,98.77337443996677,98.95229415013655,750
1...1701,6,210,150,elevee,331.614571833768,165.807285916884,1950,0,325.796444776181,98.06787350604803,98.24551526025715,900
1...1702,7,210,150,elevee,331.614571833768,165.807285916884,2310,0,324.514180803482,97.68189967762768,97.8588422725147,1050
1...1703,8,210,150,elevee,331.614571833768,165.807285916884,2670,0,323.799367587554,97.46673400235998,97.6432868426145,1200
1...1704,9,210,150,elevee,331.614571833768,165.807285916884,3030,0,323.396710977188,97.34553047738329,97.52186376758513,1350
1...1705,10,210,150,elevee,331.614571833768,165.807285916884,3390,0,323.168560473787,97.27685497442242,97.45306386469204,1500
1...1706,11,210,150,elevee,331.614571833768,165.807285916884,3750,0,323.038858121018,97.23781331473357,97.41395148430061,1650
1...1707,12,210,150,elevee,331.614571833768,165.807285916884,4110,0,322.964984017425,97.21557649673667,97.39167438616694,1800
1...1708,13,210,150,elevee,331.614571833768,165.807285916884,4470,0,322.922862667581,97.20289756400231,97.37897248660592,1950
1...1709,14,210,150,elevee,331.614571833768,165.807285916884,4830,0,322.898831338019,97.19566390192449,97.371725721354,2100
1...1710,15,210,150,elevee,331.614571833768,165.807285916884,5190,0,322.885116055695,97.19153546960541,97.36758981072492,2250
1...1711,2,240,150,elevee,331.614571833768,165.807285916884,540,0,365.886486998422,110.13536304603915,110.33486404868657,300
1...1712,3,240,150,elevee,331.614571833768,165.807285916884,930,0,346.671169347559,104.35136702343696,104.54039080084169,450
1...1713,4,240,150,elevee,331.614571833768,165.807285916884,1320,0,338.752830387206,101.96787059186792,102.15257686475137,600
1...1714,5,240,150,elevee,331.614571833768,165.807285916884,1710,0,335.040914549039,100.85054810809268,101.03323044470692,750
1...1715,6,240,150,elevee,331.614571833768,165.807285916884,2100,0,333.196291481439,100.29529876587225,100.47697531472286,900
1...1716,7,240,150,elevee,331.614571833768,165.807285916884,2490,0,332.253039655382,100.0113708647386,100.19253310193317,1050
1...1717,8,240,150,elevee,331.614571833768,165.807285916884,2880,0,331.763655960827,99.86406165058645,100.04495704945491,1200
1...1718,9,240,150,elevee,331.614571833768,165.807285916884,3270,0,331.507838920857,99.78705825316231,99.96781416681397,1350
1...1719,10,240,150,elevee,331.614571833768,165.807285916884,3660,0,331.37359039413,99.74664815124584,99.9273308653762,1500
1...1720,11,240,150,elevee,331.614571833768,165.807285916884,4050,0,331.302994257732,99.7253980330039,99.90604225432162,1650
1...1721,12,240,150,elevee,331.614571833768,165.807285916884,4440,0,331.265830396022,99.71421135203298,99.89483530961336,1800
1...1722,13,240,150,elevee,331.614571833768,165.807285916884,4830,0,331.246255146597,99.70831901307335,99.8889322971743,1950
1...1723,14,240,150,elevee,331.614571833768,165.807285916884,5220,0,331.235941229647,99.70521442455183,99.88582208495022,2100
1...1724,2,270,150,elevee,331.614571833768,165.807285916884,570,0,369.294688396544,111.16126455280293,111.36262389026268,300
1...1725,3,270,150,elevee,331.614571833768,165.807285916884,990,0,351.673546740412,105.85713088690957,106.04888222966846,450
1...1726,4,270,150,elevee,331.614571833768,165.807285916884,1410,0,344.747409519549,103.772296752738,103.96027159275867,600
1...1727,5,270,150,elevee,331.614571833768,165.807285916884,1830,0,341.68332064652,102.84997643638853,103.03628057026373,750
1...1728,6,270,150,elevee,331.614571833768,165.807285916884,2250,0,340.257434368649,102.4207709082916,102.60629757223501,900
1...1729,7,270,150,elevee,331.614571833768,165.807285916884,2670,0,339.578300099276,102.21634494020518,102.40150130359773,1050
1...1730,8,270,150,elevee,331.614571833768,165.807285916884,3090,0,339.251259531075,102.11790257354363,102.30288061681894,1200
1...1731,9,270,150,elevee,331.614571833768,165.807285916884,3510,0,339.092937776891,102.07024619787863,102.2551379156136,1350
1...1732,10,270,150,elevee,331.614571833768,165.807285916884,3930,0,339.016097647373,102.04711657745892,102.23196639782017,1500
1...1733,11,270,150,elevee,331.614571833768,165.807285916884,4350,0,338.978757739174,102.03587690479614,102.22070636543002,1650
1...1734,12,270,150,elevee,331.614571833768,165.807285916884,4770,0,338.960601763437,102.03041178091128,102.2152313419301,1800
