X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...4833,15,105,225,time trialist,382.014826073375,191.007413036687,4845,0,344.630968138049,87.75758852950185,90.214029565400807,3375
1...4834,16,105,225,time trialist,382.014826073375,191.007413036687,5175,0,344.62651873877,87.75645552467282,90.21286484639639,3600
1...4835,2,120,225,time trialist,382.014826073375,191.007413036687,570,0,366.633393794873,93.36033464333644,95.97360331885453,450
1...4836,3,120,225,time trialist,382.014826073375,191.007413036687,915,0,356.821002789938,90.86168579307777,93.40501426544165,675
1...4837,4,120,225,time trialist,382.014826073375,191.007413036687,1260,0,352.751332123536,89.82537589405085,92.3396967990404,900
1...4838,5,120,225,time trialist,382.014826073375,191.007413036687,1605,0,350.828816279047,89.33582222644623,91.83643993221928,1125
1...4839,6,120,225,time trialist,382.014826073375,191.007413036687,1950,0,349.86505469473,89.09040785462126,91.58415611532578,1350
1...4840,7,120,225,time trialist,382.014826073375,191.007413036687,2295,0,349.367539915802,88.96371959589513,91.45392169902267,1575
1...4841,8,120,225,time trialist,382.014826073375,191.007413036687,2640,0,349.106822127178,88.89732984415576,91.38567361784115,1800
1...4842,9,120,225,time trialist,382.014826073375,191.007413036687,2985,0,348.969118876038,88.8622647850927,91.34962704536767,2025
1...4843,10,120,225,time trialist,382.014826073375,191.007413036687,3330,0,348.896086598844,88.84366768522675,91.33050939018537,2250
1...4844,11,120,225,time trialist,382.014826073375,191.007413036687,3675,0,348.857268194083,88.83378288116867,91.32034789850715,2475
1...4845,12,120,225,time trialist,382.014826073375,191.007413036687,4020,0,348.836611235471,88.82852274774557,91.31494052758798,2700
1...4846,13,120,225,time trialist,382.014826073375,191.007413036687,4365,0,348.825611957237,88.82572186731804,91.31206124712992,2925
1...4847,14,120,225,time trialist,382.014826073375,191.007413036687,4710,0,348.819753203124,88.82422998127097,91.31052760138815,3150
1...4848,15,120,225,time trialist,382.014826073375,191.007413036687,5055,0,348.816631995463,88.82343519007996,91.30971056303049,3375
1...4849,16,120,225,time trialist,382.014826073375,191.007413036687,5400,0,348.814969039655,88.82301173135154,91.30927525118014,3600
1...4850,2,135,225,time trialist,382.014826073375,191.007413036687,585,0,368.330556716686,93.79250394653246,96.4178695635073,450
1...4851,3,135,225,time trialist,382.014826073375,191.007413036687,945,0,359.313550769127,91.49639369854984,94.05748841279588,675
1...4852,4,135,225,time trialist,382.014826073375,191.007413036687,1305,0,355.741531120413,90.58680675038686,93.12244102591045,900
1...4853,5,135,225,time trialist,382.014826073375,191.007413036687,1665,0,354.146558709375,90.18065946385597,92.70492518563998,1125
1...4854,6,135,225,time trialist,382.014826073375,191.007413036687,2025,0,353.396594127659,89.98968683150807,92.50860699835269,1350
1...4855,7,135,225,time trialist,382.014826073375,191.007413036687,2385,0,353.035401186473,89.89771186569575,92.41405754201388,1575
1...4856,8,135,225,time trialist,382.014826073375,191.007413036687,2745,0,352.859438473346,89.85290433299326,92.36799579228138,1800
1...4857,9,135,225,time trialist,382.014826073375,191.007413036687,3105,0,352.773235464333,89.83095340897783,92.34543043535555,2025
1...4858,10,135,225,time trialist,382.014826073375,191.007413036687,3465,0,352.730889868779,89.82017043329012,92.33434563113754,2250
