"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...48",11,90,15,"moyenne",331.614571833768,165.807285916884,1065,270.203328434912,1,584.930997363439
"1...49",12,90,15,"moyenne",331.614571833768,165.807285916884,1170,267.142820643783,1,574.471157294515
"1...50",13,90,15,"moyenne",331.614571833768,165.807285916884,1275,264.436823500229,1,565.28823638481
"1...51",14,90,15,"moyenne",331.614571833768,165.807285916884,1380,262.014106032336,1,557.11652344019
"1...52",15,90,15,"moyenne",331.614571833768,165.807285916884,1485,259.822434292634,1,549.763077988876
"1...53",16,90,15,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,543.083901330368
"1...54",17,90,15,"moyenne",331.614571833768,165.807285916884,1695,255.983987600905,1,536.968988068664
"1...55",18,90,15,"moyenne",331.614571833768,165.807285916884,1800,254.283183026765,1,531.332602097236
"1...56",19,90,15,"moyenne",331.614571833768,165.807285916884,1905,252.701112499388,1,526.106751088279
"1...57",20,90,15,"moyenne",331.614571833768,165.807285916884,2010,251.222422232416,1,521.23668751041
"1...58",2,120,15,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,1236.38076078694
"1...59",3,120,15,"moyenne",331.614571833768,165.807285916884,285,333.595122017372,1,914.749709895176
"1...60",4,120,15,"moyenne",331.614571833768,165.807285916884,420,309.859554194281,1,797.930711663402
"1...61",5,120,15,"moyenne",331.614571833768,165.807285916884,555,295.58244689137,1,735.398570039621
"1...62",6,120,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,695.984993395114
"1...63",7,120,15,"moyenne",331.614571833768,165.807285916884,825,279.150184811669,1,668.036164390778
"1...64",8,120,15,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,1,646.720962511874
"1...65",9,120,15,"moyenne",331.614571833768,165.807285916884,1095,269.287559904467,1,629.647352653996
"1...66",10,120,15,"moyenne",331.614571833768,165.807285916884,1230,265.558218164603,1,615.483105312234
"1...67",11,120,15,"moyenne",331.614571833768,165.807285916884,1365,262.345006548907,1,603.421000534113
"1...68",12,120,15,"moyenne",331.614571833768,165.807285916884,1500,259.52577918789,1,592.939849531783
"1...69",13,120,15,"moyenne",331.614571833768,165.807285916884,1635,257.016300707681,1,583.686011007631
"1...70",14,120,15,"moyenne",331.614571833768,165.807285916884,1770,254.756258549868,1,575.409765452034
"1...71",15,120,15,"moyenne",331.614571833768,165.807285916884,1905,252.701112499388,1,567.928909324641
"1...72",16,120,15,"moyenne",331.614571833768,165.807285916884,2040,250.817106832969,1,561.106817471906
"1...73",17,120,15,"moyenne",331.614571833768,165.807285916884,2175,249.078090108999,1,554.838642119104
"1...74",18,120,15,"moyenne",331.614571833768,165.807285916884,2310,247.4634156428,1,549.042308588297
"1...75",19,120,15,"moyenne",331.614571833768,165.807285916884,2445,245.95651331187,1,543.652454335442
"1...76",20,120,15,"moyenne",331.614571833768,165.807285916884,2580,244.54389242925,1,538.616237334594
"1...77",2,150,15,"moyenne",331.614571833768,165.807285916884,180,356.789969283006,1,1265.42271534434
"1...78",3,150,15,"moyenne",331.614571833768,165.807285916884,345,321.856085548983,1,927.767753874872
"1...79",4,150,15,"moyenne",331.614571833768,165.807285916884,510,299.627738291157,1,809.383504187926
"1...80",5,150,15,"moyenne",331.614571833768,165.807285916884,675,287.005197241193,1,749.116979785052
"1...81",6,150,15,"moyenne",331.614571833768,165.807285916884,840,278.483867386929,1,710.737825058712
