"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...20",2,60,15,"pursuiter",416.548283671423,208.274141835712,90,509.718346115306,1,1418.11305575024
"1...21",3,60,15,"pursuiter",416.548283671423,208.274141835712,165,448.317770082568,1,1040.40317649764
"1...22",4,60,15,"pursuiter",416.548283671423,208.274141835712,240,426.197906011164,1,944.067427866709
"1...23",5,60,15,"pursuiter",416.548283671423,208.274141835712,315,411.901295255904,1,889.920511186423
"1...24",6,60,15,"pursuiter",416.548283671423,208.274141835712,390,393.15484244182,1,828.794439396608
"1...25",7,60,15,"pursuiter",416.548283671423,208.274141835712,465,379.353098424874,1,784.920237987784
"1...26",8,60,15,"pursuiter",416.548283671423,208.274141835712,540,368.552967407735,1,751.186155532763
"1...27",9,60,15,"pursuiter",416.548283671423,208.274141835712,615,359.738440567146,1,724.009575408068
"1...28",10,60,15,"pursuiter",416.548283671423,208.274141835712,690,352.321131228682,1,701.369249847754
"1...29",11,60,15,"pursuiter",416.548283671423,208.274141835712,765,345.933808343142,1,682.028202803167
"1...30",12,60,15,"pursuiter",416.548283671423,208.274141835712,840,340.333744713752,1,665.181419061773
"1...31",13,60,15,"pursuiter",416.548283671423,208.274141835712,915,335.353065631754,1,650.279145121263
"1...32",14,60,15,"pursuiter",416.548283671423,208.274141835712,990,330.871322837814,1,636.931105382039
"1...33",15,60,15,"pursuiter",416.548283671423,208.274141835712,1065,326.799434514927,1,624.851265375194
"1...34",16,60,15,"pursuiter",416.548283671423,208.274141835712,1140,323.069818178039,1,613.824325858044
"1...35",17,60,15,"pursuiter",416.548283671423,208.274141835712,1215,319.630079462502,1,603.684524109295
"1...36",18,60,15,"pursuiter",416.548283671423,208.274141835712,1290,316.438834815634,1,594.301734837073
"1...37",19,60,15,"pursuiter",416.548283671423,208.274141835712,1365,313.462863939425,1,585.572073995216
"1...38",20,60,15,"pursuiter",416.548283671423,208.274141835712,1440,310.675118312262,1,577.411375836796
"1...39",2,90,15,"pursuiter",416.548283671423,208.274141835712,120,475.557868452008,1,1465.8817761994
"1...40",3,90,15,"pursuiter",416.548283671423,208.274141835712,225,429.420897150078,1,1096.13156980487
"1...41",4,90,15,"pursuiter",416.548283671423,208.274141835712,330,407.605313640174,1,988.249368110517
"1...42",5,90,15,"pursuiter",416.548283671423,208.274141835712,435,384.434071049495,1,898.430400943569
"1...43",6,90,15,"pursuiter",416.548283671423,208.274141835712,540,368.552967407735,1,839.851500835862
"1...44",7,90,15,"pursuiter",416.548283671423,208.274141835712,645,356.628020358678,1,797.208700807579
"1...45",8,90,15,"pursuiter",416.548283671423,208.274141835712,750,347.141830855882,1,764.006843671235
"1...46",9,90,15,"pursuiter",416.548283671423,208.274141835712,855,339.292469357997,1,736.964329589573
"1...47",10,90,15,"pursuiter",416.548283671423,208.274141835712,960,332.61041563747,1,714.220759908557
"1...48",11,90,15,"pursuiter",416.548283671423,208.274141835712,1065,326.799434514927,1,694.630923146112
"1...49",12,90,15,"pursuiter",416.548283671423,208.274141835712,1170,321.661666000523,1,677.444818811414
"1...50",13,90,15,"pursuiter",416.548283671423,208.274141835712,1275,317.058898303607,1,662.146964474092
"1...51",14,90,15,"pursuiter",416.548283671423,208.274141835712,1380,312.891031260852,1,648.369078275644
"1...52",15,90,15,"pursuiter",416.548283671423,208.274141835712,1485,309.083377488945,1,635.839567190405
"1...53",16,90,15,"pursuiter",416.548283671423,208.274141835712,1590,305.578806043108,1,624.352777615462
"1...54",17,90,15,"pursuiter",416.548283671423,208.274141835712,1695,302.332682786993,1,613.74946557839
"1...55",18,90,15,"pursuiter",416.548283671423,208.274141835712,1800,299.309498955777,1,603.903940393388
"1...56",19,90,15,"pursuiter",416.548283671423,208.274141835712,1905,296.480557901812,1,594.715337776494
"1...57",20,90,15,"pursuiter",416.548283671423,208.274141835712,2010,293.822347040521,1,586.101536579607
"1...58",2,120,15,"pursuiter",416.548283671423,208.274141835712,150,455.497488691939,1,1513.46432092072
"1...59",3,120,15,"pursuiter",416.548283671423,208.274141835712,285,418.578233643143,1,1147.31727370955
"1...60",4,120,15,"pursuiter",416.548283671423,208.274141835712,420,387.179914909432,1,994.939945386197
"1...61",5,120,15,"pursuiter",416.548283671423,208.274141835712,555,366.654400712635,1,907.349896650155
"1...62",6,120,15,"pursuiter",416.548283671423,208.274141835712,690,352.321131228682,1,849.509313185346
"1...63",7,120,15,"pursuiter",416.548283671423,208.274141835712,825,341.399648152192,1,806.946091735232
"1...64",8,120,15,"pursuiter",416.548283671423,208.274141835712,960,332.61041563747,1,773.503836947305
"1...65",9,120,15,"pursuiter",416.548283671423,208.274141835712,1095,325.269737044634,1,746.058150146619
"1...66",10,120,15,"pursuiter",416.548283671423,208.274141835712,1230,318.973116938061,1,722.828260236526
"1...67",11,120,15,"pursuiter",416.548283671423,208.274141835712,1365,313.462863939425,1,702.711815308259
"1...68",12,120,15,"pursuiter",416.548283671423,208.274141835712,1500,308.565326131099,1,684.982860446096
"1...69",13,120,15,"pursuiter",416.548283671423,208.274141835712,1635,304.158213443393,1,669.139755807979
"1...70",14,120,15,"pursuiter",416.548283671423,208.274141835712,1770,300.15229913058,1,654.822276029663
"1...71",15,120,15,"pursuiter",416.548283671423,208.274141835712,1905,296.480557901812,1,641.763488562913
"1...72",16,120,15,"pursuiter",416.548283671423,208.274141835712,2040,293.091402955126,1,629.760354770001
"1...73",17,120,15,"pursuiter",416.548283671423,208.274141835712,2175,289.944303915902,1,618.654990655912
"1...74",18,120,15,"pursuiter",416.548283671423,208.274141835712,2310,287.006849988177,1,608.322286830762
"1...75",19,120,15,"pursuiter",416.548283671423,208.274141835712,2445,284.25272384619,1,598.661475444777
"1...76",20,120,15,"pursuiter",416.548283671423,208.274141835712,2580,281.660268287648,1,589.590231623979
"1...77",2,150,15,"pursuiter",416.548283671423,208.274141835712,180,442.378307660971,1,1560.96543794416
"1...78",3,150,15,"pursuiter",416.548283671423,208.274141835712,345,403.616484282014,1,1162.67932152018
"1...79",4,150,15,"pursuiter",416.548283671423,208.274141835712,510,372.590750325244,1,1002.13649501898
"1...80",5,150,15,"pursuiter",416.548283671423,208.274141835712,675,353.712659993016,1,915.290690510302
"1...81",6,150,15,"pursuiter",416.548283671423,208.274141835712,840,340.333744713752,1,857.359003692222
"1...82",7,150,15,"pursuiter",416.548283671423,208.274141835712,1005,330.026581003007,1,814.372864566833
"1...83",8,150,15,"pursuiter",416.548283671423,208.274141835712,1170,321.661666000523,1,780.370221346293
"1...84",9,150,15,"pursuiter",416.548283671423,208.274141835712,1335,314.629270073993,1,752.311456224411
