"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...88",13,75,15,"sprinter",375.481359910061,187.740679955031,1095,281.051858860982,1,555.403939151784
"1...89",14,75,15,"sprinter",375.481359910061,187.740679955031,1185,276.996003622303,1,542.681595312056
"1...90",15,75,15,"sprinter",375.481359910061,187.740679955031,1275,273.326767350172,1,531.215494371499
"1...91",16,75,15,"sprinter",375.481359910061,187.740679955031,1365,269.978644470979,1,520.787130049225
"1...92",17,75,15,"sprinter",375.481359910061,187.740679955031,1455,266.901129336148,1,511.229096557308
"1...93",18,75,15,"sprinter",375.481359910061,187.740679955031,1545,264.054533858695,1,502.410582742243
"1...94",19,75,15,"sprinter",375.481359910061,187.740679955031,1635,261.407150498945,1,494.227606982585
"1...95",20,75,15,"sprinter",375.481359910061,187.740679955031,1725,258.933277380719,1,486.596265335078
"1...96",2,90,15,"sprinter",375.481359910061,187.740679955031,120,456.57694529011,1,1437.06801644006
"1...97",3,90,15,"sprinter",375.481359910061,187.740679955031,225,393.327716695965,1,1009.62977523605
"1...98",4,90,15,"sprinter",375.481359910061,187.740679955031,330,365.574819810982,1,884.685193354955
"1...99",5,90,15,"sprinter",375.481359910061,187.740679955031,435,340.500366453011,1,790.135101601973
"1...100",6,90,15,"sprinter",375.481359910061,187.740679955031,540,323.869616322521,1,730.019816852432
"1...101",7,90,15,"sprinter",375.481359910061,187.740679955031,645,311.704197532447,1,687.186694384999
"1...102",8,90,15,"sprinter",375.481359910061,187.740679955031,750,302.229288194021,1,654.429264462955
"1...103",9,90,15,"sprinter",375.481359910061,187.740679955031,855,294.524125021649,1,628.147281905124
"1...104",10,90,15,"sprinter",375.481359910061,187.740679955031,960,288.058736171475,1,606.322799586788
"1...105",11,90,15,"sprinter",375.481359910061,187.740679955031,1065,282.503957853199,1,587.727329846782
"1...106",12,90,15,"sprinter",375.481359910061,187.740679955031,1170,277.643091705647,1,571.564836976848
"1...107",13,90,15,"sprinter",375.481359910061,187.740679955031,1275,273.326767350172,1,557.293682612216
"1...108",14,90,15,"sprinter",375.481359910061,187.740679955031,1380,269.448120864408,1,544.530557246308
"1...109",15,90,15,"sprinter",375.481359910061,187.740679955031,1485,265.928314535284,1,532.995299161219
"1...110",16,90,15,"sprinter",375.481359910061,187.740679955031,1590,262.707669069235,1,522.47753728508
"1...111",17,90,15,"sprinter",375.481359910061,187.740679955031,1695,259.740007557498,1,512.815650227772
"1...112",18,90,15,"sprinter",375.481359910061,187.740679955031,1800,256.988921151922,1,503.88300753413
"1...113",19,90,15,"sprinter",375.481359910061,187.740679955031,1905,254.425229147302,1,495.578690691004
"1...114",20,90,15,"sprinter",375.481359910061,187.740679955031,2010,252.025206221121,1,487.821065500704
"1...115",2,105,15,"sprinter",375.481359910061,187.740679955031,135,441.379317080446,1,1442.23502320231
"1...116",3,105,15,"sprinter",375.481359910061,187.740679955031,255,384.924665952598,1,1023.56663757963
"1...117",4,105,15,"sprinter",375.481359910061,187.740679955031,375,353.357710015062,1,879.876170686961
"1...118",5,105,15,"sprinter",375.481359910061,187.740679955031,495,330.294784527938,1,788.371813984158
"1...119",6,105,15,"sprinter",375.481359910061,187.740679955031,615,314.850071643344,1,729.801735870563
"1...120",7,105,15,"sprinter",375.481359910061,187.740679955031,735,303.458525796799,1,687.803653896216
"1...121",8,105,15,"sprinter",375.481359910061,187.740679955031,855,294.524125021649,1,655.50221484497
"1...122",9,105,15,"sprinter",375.481359910061,187.740679955031,975,287.215443962117,1,629.457146981341
"1...123",10,105,15,"sprinter",375.481359910061,187.740679955031,1095,281.051858860982,1,607.735732529677
"1...124",11,105,15,"sprinter",375.481359910061,187.740679955031,1215,275.733568659606,1,589.158261778279
"1...125",12,105,15,"sprinter",375.481359910061,187.740679955031,1335,271.062379534291,1,572.958179056097
"1...126",13,105,15,"sprinter",375.481359910061,187.740679955031,1455,266.901129336148,1,558.612438565199
"1...127",14,105,15,"sprinter",375.481359910061,187.740679955031,1575,263.151315381508,1,545.749861495841
"1...128",15,105,15,"sprinter",375.481359910061,187.740679955031,1695,259.740007557498,1,534.098419970836
"1...129",16,105,15,"sprinter",375.481359910061,187.740679955031,1815,256.611811948888,1,523.453318611427
"1...130",17,105,15,"sprinter",375.481359910061,187.740679955031,1935,253.723731234781,1,513.656826771907
"1...131",18,105,15,"sprinter",375.481359910061,187.740679955031,2055,251.041762319934,1,504.585067642987
"1...132",19,105,15,"sprinter",375.481359910061,187.740679955031,2175,248.53857619845,1,496.139092906335
"1...133",20,105,15,"sprinter",375.481359910061,187.740679955031,2295,246.191894510497,1,488.238689089722
"1...134",2,120,15,"sprinter",375.481359910061,187.740679955031,150,429.278366110639,1,1449.52229968758
"1...135",3,120,15,"sprinter",375.481359910061,187.740679955031,285,378.297084294579,1,1037.90794319384
"1...136",4,120,15,"sprinter",375.481359910061,187.740679955031,420,343.423511595254,1,876.719788834364
"1...137",5,120,15,"sprinter",375.481359910061,187.740679955031,555,321.913910279108,1,787.479939403172
"1...138",6,120,15,"sprinter",375.481359910061,187.740679955031,690,307.380158228804,1,729.996637070391
"1...139",7,120,15,"sprinter",375.481359910061,187.740679955031,825,296.58074909252,1,688.539778546089
"1...140",8,120,15,"sprinter",375.481359910061,187.740679955031,960,288.058736171475,1,656.494528004068
"1...141",9,120,15,"sprinter",375.481359910061,187.740679955031,1095,281.051858860982,1,630.544642961049
"1...142",10,120,15,"sprinter",375.481359910061,187.740679955031,1230,275.117564949728,1,608.822576764169
"1...143",11,120,15,"sprinter",375.481359910061,187.740679955031,1365,269.978644470979,1,590.185405201819
"1...144",12,120,15,"sprinter",375.481359910061,187.740679955031,1500,265.451108917843,1,573.888485967362
"1...145",13,120,15,"sprinter",375.481359910061,187.740679955031,1635,261.407150498945,1,559.42238087289
"1...146",14,120,15,"sprinter",375.481359910061,187.740679955031,1770,257.754662935668,1,546.424639297188
"1...147",15,120,15,"sprinter",375.481359910061,187.740679955031,1905,254.425229147302,1,534.628975135279
