"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...66",10,120,15,"faible",350.281232790258,175.140616395129,1230,0,716.656144110751
"1...67",11,120,15,"faible",350.281232790258,175.140616395129,1365,0,699.533690804491
"1...68",12,120,15,"faible",350.281232790258,175.140616395129,1500,0,685.944431661479
"1...69",13,120,15,"faible",350.281232790258,175.140616395129,1635,0,675.03391383433
"1...70",14,120,15,"faible",350.281232790258,175.140616395129,1770,0,666.192522264776
"1...71",15,120,15,"faible",350.281232790258,175.140616395129,1905,0,658.973884603048
"1...72",16,120,15,"faible",350.281232790258,175.140616395129,2040,0,653.043960194884
"1...73",17,120,15,"faible",350.281232790258,175.140616395129,2175,0,648.148129181993
"1...74",18,120,15,"faible",350.281232790258,175.140616395129,2310,0,644.089255897516
"1...75",19,120,15,"faible",350.281232790258,175.140616395129,2445,0,640.712669833304
"1...76",20,120,15,"faible",350.281232790258,175.140616395129,2580,0,637.895636158171
"1...77",2,150,15,"faible",350.281232790258,175.140616395129,180,0,1690.24558471024
"1...78",3,150,15,"faible",350.281232790258,175.140616395129,345,0,1289.11520727485
"1...79",4,150,15,"faible",350.281232790258,175.140616395129,510,0,1095.73680264776
"1...80",5,150,15,"faible",350.281232790258,175.140616395129,675,0,983.835850186447
"1...81",6,150,15,"faible",350.281232790258,175.140616395129,840,0,912.16053166156
"1...82",7,150,15,"faible",350.281232790258,175.140616395129,1005,0,863.223397619627
"1...83",8,150,15,"faible",350.281232790258,175.140616395129,1170,0,828.33755481239
"1...84",9,150,15,"faible",350.281232790258,175.140616395129,1335,0,802.6964285005
"1...85",10,150,15,"faible",350.281232790258,175.140616395129,1500,0,783.423664440952
"1...86",11,150,15,"faible",350.281232790258,175.140616395129,1665,0,768.692546928861
"1...87",12,150,15,"faible",350.281232790258,175.140616395129,1830,0,757.287831268053
"1...88",13,150,15,"faible",350.281232790258,175.140616395129,1995,0,748.370616078972
"1...89",14,150,15,"faible",350.281232790258,175.140616395129,2160,0,741.34427208928
"1...90",15,150,15,"faible",350.281232790258,175.140616395129,2325,0,735.774065830832
