"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"5608",3,75,195,"faible",350.281232790258,175.140616395129,735,284.543283088708,299.022102239628
"5609",4,75,195,"faible",350.281232790258,175.140616395129,1005,269.254348378076,283.948450877677
"5610",5,75,195,"faible",350.281232790258,175.140616395129,1275,259.040545072449,273.539481698983
"5611",6,75,195,"faible",350.281232790258,175.140616395129,1545,251.448488169413,265.612060604068
"5612",7,75,195,"faible",350.281232790258,175.140616395129,1815,245.432242309279,259.21056316392
"5613",8,75,195,"faible",350.281232790258,175.140616395129,2085,240.459246822534,253.837916926712
"5614",9,75,195,"faible",350.281232790258,175.140616395129,2355,236.224665087438,249.204490420415
"5615",10,75,195,"faible",350.281232790258,175.140616395129,2625,232.538883935474,245.127382581234
"5616",11,75,195,"faible",350.281232790258,175.140616395129,2895,229.276406817376,241.483950769586
"5617",12,75,195,"faible",350.281232790258,175.140616395129,3165,226.350081206232,238.18805129665
"5618",13,75,195,"faible",350.281232790258,175.140616395129,3435,223.697019388703,235.176900306324
"5619",14,75,195,"faible",350.281232790258,175.140616395129,3705,221.270404244325,232.403342278637
"5620",15,75,195,"faible",350.281232790258,175.140616395129,3975,219.034468389281,229.831065433412
"5621",16,75,195,"faible",350.281232790258,175.140616395129,4245,216.961283788324,227.431514664475
"5622",17,75,195,"faible",350.281232790258,175.140616395129,4515,215.02863398581,225.181828559177
"5623",18,75,195,"faible",350.281232790258,175.140616395129,4785,213.218559997555,223.063418857462
"5624",19,75,195,"faible",350.281232790258,175.140616395129,5055,211.516339940937,221.060966667199
"5625",20,75,195,"faible",350.281232790258,175.140616395129,5325,209.909756316372,219.16169700118
"5626",1,90,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5627",2,90,195,"faible",350.281232790258,175.140616395129,480,310.471207424884,325.449901573139
"5628",3,90,195,"faible",350.281232790258,175.140616395129,765,282.443912201368,299.374142452109
"5629",4,90,195,"faible",350.281232790258,175.140616395129,1050,267.295639099946,284.441846138141
"5630",5,90,195,"faible",350.281232790258,175.140616395129,1335,257.176039588624,274.070381357807
"5631",6,90,195,"faible",350.281232790258,175.140616395129,1620,249.647984210261,266.132142928779
"5632",7,90,195,"faible",350.281232790258,175.140616395129,1905,243.67692449301,259.695553118847
"5633",8,90,195,"faible",350.281232790258,175.140616395129,2190,238.736997430221,254.275014371887
"5634",9,90,195,"faible",350.281232790258,175.140616395129,2475,234.52736027973,249.586817379187
"5635",10,90,195,"faible",350.281232790258,175.140616395129,2760,230.860874922392,245.451301893437
"5636",11,90,195,"faible",350.281232790258,175.140616395129,3045,227.613640283322,241.74767575336
"5637",12,90,195,"faible",350.281232790258,175.140616395129,3330,224.699569577465,238.390883105049
"5638",13,90,195,"faible",350.281232790258,175.140616395129,3615,222.056509502089,235.318790529636
"5639",14,90,195,"faible",350.281232790258,175.140616395129,3900,219.638162912685,232.484633072804
"5640",15,90,195,"faible",350.281232790258,175.140616395129,4185,217.409139361491,229.852330787359
"5641",16,90,195,"faible",350.281232790258,175.140616395129,4470,215.341789755751,227.393461371649
"5642",17,90,195,"faible",350.281232790258,175.140616395129,4755,213.414107849525,225.085233491744
"5643",18,90,195,"faible",350.281232790258,175.140616395129,5040,211.608295642024,222.909088864239
"5644",19,90,195,"faible",350.281232790258,175.140616395129,5325,209.909756316372,220.84971286061
"5645",1,105,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5646",2,105,195,"faible",350.281232790258,175.140616395129,495,308.338483627301,325.453233205236
"5647",3,105,195,"faible",350.281232790258,175.140616395129,795,280.469125477499,299.734614400262
"5648",4,105,195,"faible",350.281232790258,175.140616395129,1095,265.454500107949,284.927324367157
"5649",5,105,195,"faible",350.281232790258,175.140616395129,1395,255.42230254026,274.582768083878
"5650",6,105,195,"faible",350.281232790258,175.140616395129,1695,247.952885374632,266.626714874298
"5651",7,105,195,"faible",350.281232790258,175.140616395129,1995,242.022885897304,260.150229483239
"5652",8,105,195,"faible",350.281232790258,175.140616395129,2295,237.112827243112,254.678367254565
"5653",9,105,195,"faible",350.281232790258,175.140616395129,2595,232.925614157786,249.932851400956
"5654",10,105,195,"faible",350.281232790258,175.140616395129,2895,229.276406817376,245.736960195732
"5655",11,105,195,"faible",350.281232790258,175.140616395129,3195,226.042774651726,241.971558484354
"5656",12,105,195,"faible",350.281232790258,175.140616395129,3495,223.139607544913,238.552550348611
"5657",13,105,195,"faible",350.281232790258,175.140616395129,3795,220.505422158265,235.4183658279
"5658",14,105,195,"faible",350.281232790258,175.140616395129,4095,218.094393908462,232.522569908529
"5659",15,105,195,"faible",350.281232790258,175.140616395129,4395,215.871473819336,229.82927130231
"5660",16,105,195,"faible",350.281232790258,175.140616395129,4695,213.80926479835,227.310149178684
"5661",17,105,195,"faible",350.281232790258,175.140616395129,4995,211.885950044293,224.942459155903
"5662",18,105,195,"faible",350.281232790258,175.140616395129,5295,210.083876322803,222.707655596165
"5663",1,120,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5664",2,120,195,"faible",350.281232790258,175.140616395129,510,306.313995307431,325.482754670085
"5665",3,120,195,"faible",350.281232790258,175.140616395129,825,278.606225428286,300.100899301272
"5666",4,120,195,"faible",350.281232790258,175.140616395129,1140,263.718406074413,285.403716834805
"5667",5,120,195,"faible",350.281232790258,175.140616395129,1455,253.76739229702,275.07659406933
"5668",6,120,195,"faible",350.281232790258,175.140616395129,1770,246.351823340762,267.096533889104
"5669",7,120,195,"faible",350.281232790258,175.140616395129,2085,240.459246822534,260.575926208936
"5670",8,120,195,"faible",350.281232790258,175.140616395129,2400,235.57625970946,255.049725791093
"5671",9,120,195,"faible",350.281232790258,175.140616395129,2715,231.409281487884,250.244645538353
"5672",10,120,195,"faible",350.281232790258,175.140616395129,3030,227.775608126077,245.986631336263
"5673",11,120,195,"faible",350.281232790258,175.140616395129,3345,224.554166498854,242.158032817986
"5674",12,120,195,"faible",350.281232790258,175.140616395129,3660,221.66074344925,238.675600738565
"5675",13,120,195,"faible",350.281232790258,175.140616395129,3975,219.034468389281,235.478251877281
"5676",14,120,195,"faible",350.281232790258,175.140616395129,4290,216.629947462859,232.519827845852
"5677",15,120,195,"faible",350.281232790258,175.140616395129,4605,214.412442029931,229.764588120305
"5678",16,120,195,"faible",350.281232790258,175.140616395129,4920,212.354783441305,227.184285861508
"5679",17,120,195,"faible",350.281232790258,175.140616395129,5235,210.435326247425,224.756203347516
"5680",1,135,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5681",2,135,195,"faible",350.281232790258,175.140616395129,525,304.388707760129,325.535371750122
"5682",3,135,195,"faible",350.281232790258,175.140616395129,855,276.844256826796,300.470854242659
"5683",4,135,195,"faible",350.281232790258,175.140616395129,1185,262.076651218316,285.870176832792
"5684",5,135,195,"faible",350.281232790258,175.140616395129,1515,252.201141040948,275.551984636602
"5685",6,135,195,"faible",350.281232790258,175.140616395129,1845,244.835133018147,267.54241190742
