X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...46,9,45,15,all around,391.34815655162,195.67407827581,495,0,650.537463408083,74.28561777112715,166.229852502774,135
1...47,10,45,15,all around,391.34815655162,195.67407827581,555,0,634.837231798297,72.49279034782607,162.21802023860056,150
1...48,11,45,15,all around,391.34815655162,195.67407827581,615,0,622.531117829135,71.08754110395948,159.0734764958632,165
1...49,12,45,15,all around,391.34815655162,195.67407827581,675,0,612.741939216212,69.96970359015481,156.5720775627033,180
1...50,13,45,15,all around,391.34815655162,195.67407827581,735,0,604.863082759143,69.07000795052606,154.5588174194861,195
1...51,14,45,15,all around,391.34815655162,195.67407827581,795,0,598.461705386025,68.33902733911445,152.92309299713952,210
1...52,15,45,15,all around,391.34815655162,195.67407827581,855,0,593.220798558693,67.7405621879921,151.58390007145604,225
1...53,16,45,15,all around,391.34815655162,195.67407827581,915,0,588.903043934471,67.2475128438942,150.48059741065703,240
1...54,17,45,15,all around,391.34815655162,195.67407827581,975,0,585.327452378422,66.83921195028107,149.5669374134935,255
1...55,18,45,15,all around,391.34815655162,195.67407827581,1035,0,582.353796581951,66.49964679023283,148.80708822379154,270
1...56,19,45,15,all around,391.34815655162,195.67407827581,1095,0,579.871956083672,66.21624258218279,148.17291109615465,285
1...57,20,45,15,all around,391.34815655162,195.67407827581,1155,0,577.79445015674,65.97900980177256,147.64205234745427,300
1...58,2,60,15,all around,391.34815655162,195.67407827581,90,0,1333.60337245893,152.28569599322978,340.7715994397494,30
1...59,3,60,15,all around,391.34815655162,195.67407827581,165,0,1050.79507338899,119.99149252468419,268.5064579447909,45
1...60,4,60,15,all around,391.34815655162,195.67407827581,240,0,914.678189576254,104.44814971682064,233.72492606991625,60
1...61,5,60,15,all around,391.34815655162,195.67407827581,315,0,836.08491542271,95.47349375686223,213.6422266019868,75
1...62,6,60,15,all around,391.34815655162,195.67407827581,390,0,785.881404876292,89.7406974076987,200.8138767794686,90
1...63,7,60,15,all around,391.34815655162,195.67407827581,465,0,751.715470338106,85.83925022493297,192.08355980564139,105
1...64,8,60,15,all around,391.34815655162,195.67407827581,540,0,727.450268275095,83.06837901922462,185.8831467829189,120
1...65,9,60,15,all around,391.34815655162,195.67407827581,615,0,709.68981848213,81.04029292276584,181.3448732544419,135
1...66,10,60,15,all around,391.34815655162,195.67407827581,690,0,696.401854843143,79.52292514094572,177.94944046230242,150
1...67,11,60,15,all around,391.34815655162,195.67407827581,765,0,686.295918708676,78.36891672308845,175.36710144644607,165
1...68,12,60,15,all around,391.34815655162,195.67407827581,840,0,678.513865580156,77.48027516638044,173.3785771623171,180
1...69,13,60,15,all around,391.34815655162,195.67407827581,915,0,672.463748659834,76.78940538824477,171.83260925138256,195
1...70,14,60,15,all around,391.34815655162,195.67407827581,990,0,667.725064062344,76.248289568561,170.62174763924537,210
1...71,15,60,15,all around,391.34815655162,195.67407827581,1065,0,663.991915053826,75.82199700905707,169.66782746713756,225
1...72,16,60,15,all around,391.34815655162,195.67407827581,1140,0,661.037444749986,75.48462266237854,168.91288068781108,240
1...73,17,60,15,all around,391.34815655162,195.67407827581,1215,0,658.690755673875,75.21665154996575,168.3132383905817,255
1...74,18,60,15,all around,391.34815655162,195.67407827581,1290,0,656.821454317709,75.00319388787246,167.8355815203827,270
1...75,19,60,15,all around,391.34815655162,195.67407827581,1365,0,655.329014605348,74.83277048836817,167.45422295579618,285
1...76,20,60,15,all around,391.34815655162,195.67407827581,1440,0,654.135280893734,74.6964566690888,167.1491918238924,300
1...77,2,75,15,all around,391.34815655162,195.67407827581,105,0,1359.56258576101,155.25000828186398,347.40487798405655,30
1...78,3,75,15,all around,391.34815655162,195.67407827581,195,0,1086.94221953335,124.11917652912186,277.7430278734376,45
1...79,4,75,15,all around,391.34815655162,195.67407827581,285,0,957.325324588391,109.31807489214897,244.6224183151651,60
1...80,5,75,15,all around,391.34815655162,195.67407827581,375,0,883.708967272133,100.9117387640976,225.8114552164932,75
1...81,6,75,15,all around,391.34815655162,195.67407827581,465,0,837.636355084957,95.65065442819524,214.03866124369242,90
1...82,7,75,15,all around,391.34815655162,195.67407827581,555,0,807.02999984612,92.155679681117,206.2179127039456,105
1...83,8,75,15,all around,391.34815655162,195.67407827581,645,0,785.884751846689,89.7410796020804,200.81473202059877,120
1...84,9,75,15,all around,391.34815655162,195.67407827581,735,0,770.877209862394,88.02735120020029,196.97990062225145,135
1...85,10,75,15,all around,391.34815655162,195.67407827581,825,0,760.021091129875,86.78767857255949,194.2058697367662,150
1...86,11,75,15,all around,391.34815655162,195.67407827581,915,0,752.059408483236,85.87852491551294,192.1714452701241,165
