"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...124",11,210,15,"pursuiter",416.548283671423,208.274141835712,2265,0,1341.95987172391
"1...125",12,210,15,"pursuiter",416.548283671423,208.274141835712,2490,0,1341.69072423567
"1...126",13,210,15,"pursuiter",416.548283671423,208.274141835712,2715,0,1341.55580899212
"1...127",14,210,15,"pursuiter",416.548283671423,208.274141835712,2940,0,1341.48816701638
"1...128",15,210,15,"pursuiter",416.548283671423,208.274141835712,3165,0,1341.45425028854
"1...129",16,210,15,"pursuiter",416.548283671423,208.274141835712,3390,0,1341.43724308663
"1...130",17,210,15,"pursuiter",416.548283671423,208.274141835712,3615,0,1341.42871478702
"1...131",18,210,15,"pursuiter",416.548283671423,208.274141835712,3840,0,1341.42443819938
"1...132",19,210,15,"pursuiter",416.548283671423,208.274141835712,4065,0,1341.42229365527
"1...133",20,210,15,"pursuiter",416.548283671423,208.274141835712,4290,0,1341.4212182456
"1...134",2,240,15,"pursuiter",416.548283671423,208.274141835712,270,0,1752.45228968938
"1...135",3,240,15,"pursuiter",416.548283671423,208.274141835712,525,0,1565.27337870616
"1...136",4,240,15,"pursuiter",416.548283671423,208.274141835712,780,0,1495.35266653287
"1...137",5,240,15,"pursuiter",416.548283671423,208.274141835712,1035,0,1466.08691260593
"1...138",6,240,15,"pursuiter",416.548283671423,208.274141835712,1290,0,1453.26026963149
"1...139",7,240,15,"pursuiter",416.548283671423,208.274141835712,1545,0,1447.52546629326
"1...140",8,240,15,"pursuiter",416.548283671423,208.274141835712,1800,0,1444.93861667215
"1...141",9,240,15,"pursuiter",416.548283671423,208.274141835712,2055,0,1443.76708245169
"1...142",10,240,15,"pursuiter",416.548283671423,208.274141835712,2310,0,1443.23555962463
"1...143",11,240,15,"pursuiter",416.548283671423,208.274141835712,2565,0,1442.99421146059
"1...144",12,240,15,"pursuiter",416.548283671423,208.274141835712,2820,0,1442.88458199454
"1...145",13,240,15,"pursuiter",416.548283671423,208.274141835712,3075,0,1442.83477574691
"1...146",14,240,15,"pursuiter",416.548283671423,208.274141835712,3330,0,1442.81214631697
"1...147",15,240,15,"pursuiter",416.548283671423,208.274141835712,3585,0,1442.80186429522
"1...148",16,240,15,"pursuiter",416.548283671423,208.274141835712,3840,0,1442.79719243017
"1...149",17,240,15,"pursuiter",416.548283671423,208.274141835712,4095,0,1442.79506964922
"1...150",18,240,15,"pursuiter",416.548283671423,208.274141835712,4350,0,1442.79410510645
"1...151",19,240,15,"pursuiter",416.548283671423,208.274141835712,4605,0,1442.79366683978
"1...152",20,240,15,"pursuiter",416.548283671423,208.274141835712,4860,0,1442.79346770107
"1...153",2,270,15,"pursuiter",416.548283671423,208.274141835712,300,0,1798.29734319979
"1...154",3,270,15,"pursuiter",416.548283671423,208.274141835712,585,0,1631.41001853526
"1...155",4,270,15,"pursuiter",416.548283671423,208.274141835712,870,0,1573.07810841129
"1...156",5,270,15,"pursuiter",416.548283671423,208.274141835712,1155,0,1550.52891682867
"1...157",6,270,15,"pursuiter",416.548283671423,208.274141835712,1440,0,1541.47687108235
"1...158",7,270,15,"pursuiter",416.548283671423,208.274141835712,1725,0,1537.78821392027
"1...159",8,270,15,"pursuiter",416.548283671423,208.274141835712,2010,0,1536.27594453015
"1...160",9,270,15,"pursuiter",416.548283671423,208.274141835712,2295,0,1535.65440299674
"1...161",10,270,15,"pursuiter",416.548283671423,208.274141835712,2580,0,1535.39868885115
"1...162",11,270,15,"pursuiter",416.548283671423,208.274141835712,2865,0,1535.29343892403
"1...163",12,270,15,"pursuiter",416.548283671423,208.274141835712,3150,0,1535.25011139306
"1...164",13,270,15,"pursuiter",416.548283671423,208.274141835712,3435,0,1535.23227376976
"1...165",14,270,15,"pursuiter",416.548283671423,208.274141835712,3720,0,1535.22492993732
"1...166",15,270,15,"pursuiter",416.548283671423,208.274141835712,4005,0,1535.2219064109
"1...167",16,270,15,"pursuiter",416.548283671423,208.274141835712,4290,0,1535.22066158981
"1...168",17,270,15,"pursuiter",416.548283671423,208.274141835712,4575,0,1535.22014908141
"1...169",18,270,15,"pursuiter",416.548283671423,208.274141835712,4860,0,1535.21993807511
"1...170",19,270,15,"pursuiter",416.548283671423,208.274141835712,5145,0,1535.21985120108
"1...171",2,300,15,"pursuiter",416.548283671423,208.274141835712,330,0,1842.42357703251
"1...172",3,300,15,"pursuiter",416.548283671423,208.274141835712,645,0,1694.61739399597
"1...173",4,300,15,"pursuiter",416.548283671423,208.274141835712,960,0,1646.51385678383
"1...174",5,300,15,"pursuiter",416.548283671423,208.274141835712,1275,0,1629.41199037848
"1...175",6,300,15,"pursuiter",416.548283671423,208.274141835712,1590,0,1623.14339164791
"1...176",7,300,15,"pursuiter",416.548283671423,208.274141835712,1905,0,1620.82006053591
"1...177",8,300,15,"pursuiter",416.548283671423,208.274141835712,2220,0,1619.95543188518
"1...178",9,300,15,"pursuiter",416.548283671423,208.274141835712,2535,0,1619.6331700142
"1...179",10,300,15,"pursuiter",416.548283671423,208.274141835712,2850,0,1619.51298940664
"1...180",11,300,15,"pursuiter",416.548283671423,208.274141835712,3165,0,1619.46816117025
"1...181",12,300,15,"pursuiter",416.548283671423,208.274141835712,3480,0,1619.45143859546
"1...182",13,300,15,"pursuiter",416.548283671423,208.274141835712,3795,0,1619.44520027888
"1...183",14,300,15,"pursuiter",416.548283671423,208.274141835712,4110,0,1619.44287306425
"1...184",15,300,15,"pursuiter",416.548283671423,208.274141835712,4425,0,1619.44200488931
"1...185",16,300,15,"pursuiter",416.548283671423,208.274141835712,4740,0,1619.44168101336
"1...186",17,300,15,"pursuiter",416.548283671423,208.274141835712,5055,0,1619.44156019013
"1...187",18,300,15,"pursuiter",416.548283671423,208.274141835712,5370,0,1619.44151511653
"1...188",2,30,30,"pursuiter",416.548283671423,208.274141835712,90,0,842.634389518326
"1...189",3,30,30,"pursuiter",416.548283671423,208.274141835712,150,0,679.429746141663
"1...190",4,30,30,"pursuiter",416.548283671423,208.274141835712,210,0,598.868999983424
"1...191",5,30,30,"pursuiter",416.548283671423,208.274141835712,270,0,551.046424700644
"1...192",6,30,30,"pursuiter",416.548283671423,208.274141835712,330,0,519.503530823881
"1...193",7,30,30,"pursuiter",416.548283671423,208.274141835712,390,0,497.229192969604
"1...194",8,30,30,"pursuiter",416.548283671423,208.274141835712,450,0,480.731501855155
"1...195",9,30,30,"pursuiter",416.548283671423,208.274141835712,510,0,468.075727023314
