"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...113",19,180,15,"faible",350.281232790258,175.140616395129,3525,222.864943909841,1,497.186189351583
"1...114",20,180,15,"faible",350.281232790258,175.140616395129,3720,221.141471468748,1,490.386609053148
"1...115",2,210,15,"faible",350.281232790258,175.140616395129,240,364.36097863776,1,1423.31947665889
"1...116",3,210,15,"faible",350.281232790258,175.140616395129,465,312.722368828565,1,958.982338116226
"1...117",4,210,15,"faible",350.281232790258,175.140616395129,690,287.959017642202,1,818.072081091167
"1...118",5,210,15,"faible",350.281232790258,175.140616395129,915,273.586301191471,1,744.834955112591
"1...119",6,210,15,"faible",350.281232790258,175.140616395129,1140,263.718406074413,1,697.366132069257
"1...120",7,210,15,"faible",350.281232790258,175.140616395129,1365,256.2861173424,1,662.889903541211
"1...121",8,210,15,"faible",350.281232790258,175.140616395129,1590,250.354834600211,1,636.06270097624
"1...122",9,210,15,"faible",350.281232790258,175.140616395129,1815,245.432242309279,1,614.208538773306
"1...123",10,210,15,"faible",350.281232790258,175.140616395129,2040,241.230378600993,1,595.818828641448
"1...124",11,210,15,"faible",350.281232790258,175.140616395129,2265,237.567511034545,1,579.968288326534
"1...125",12,210,15,"faible",350.281232790258,175.140616395129,2490,234.32214066936,1,566.052378879262
"1...126",13,210,15,"faible",350.281232790258,175.140616395129,2715,231.409281487884,1,553.656224671543
"1...127",14,210,15,"faible",350.281232790258,175.140616395129,2940,228.767286040848,1,542.483699175301
"1...128",15,210,15,"faible",350.281232790258,175.140616395129,3165,226.350081206232,1,532.316537256126
"1...129",16,210,15,"faible",350.281232790258,175.140616395129,3390,224.122364559975,1,522.989506448654
"1...130",17,210,15,"faible",350.281232790258,175.140616395129,3615,222.056509502089,1,514.374667343457
"1...131",18,210,15,"faible",350.281232790258,175.140616395129,3840,220.130501655817,1,506.371027112474
"1...132",19,210,15,"faible",350.281232790258,175.140616395129,4065,218.326521777619,1,498.897523870382
"1...133",20,210,15,"faible",350.281232790258,175.140616395129,4290,216.629947462859,1,491.888140164013
"1...134",2,240,15,"faible",350.281232790258,175.140616395129,270,356.537006399118,1,1442.79053363786
"1...135",3,240,15,"faible",350.281232790258,175.140616395129,525,304.388707760129,1,958.28566599893
"1...136",4,240,15,"faible",350.281232790258,175.140616395129,780,281.441784149436,1,820.386606296273
"1...137",5,240,15,"faible",350.281232790258,175.140616395129,1035,267.934800444803,1,748.11290083189
"1...138",6,240,15,"faible",350.281232790258,175.140616395129,1290,258.563303202974,1,700.914341067365
"1...139",7,240,15,"faible",350.281232790258,175.140616395129,1545,251.448488169413,1,666.420299568881
"1...140",8,240,15,"faible",350.281232790258,175.140616395129,1800,245.735514355995,1,639.442516887115
"1...141",9,240,15,"faible",350.281232790258,175.140616395129,2055,240.971016107137,1,617.373998066704
"1...142",10,240,15,"faible",350.281232790258,175.140616395129,2310,236.888177330281,1,598.739861624051
"1...143",11,240,15,"faible",350.281232790258,175.140616395129,2565,233.317675357566,1,582.632364889613
"1...144",12,240,15,"faible",350.281232790258,175.140616395129,2820,230.145743268049,1,568.456466999869
"1...145",13,240,15,"faible",350.281232790258,175.140616395129,3075,227.292446890035,1,555.802539919091
"1...146",14,240,15,"faible",350.281232790258,175.140616395129,3330,224.699569577465,1,544.377353476717
"1...147",15,240,15,"faible",350.281232790258,175.140616395129,3585,222.323444129343,1,533.96419383945
"1...148",16,240,15,"faible",350.281232790258,175.140616395129,3840,220.130501655817,1,524.398592076604
"1...149",17,240,15,"faible",350.281232790258,175.140616395129,4095,218.094393908462,1,515.552904408563
"1...150",18,240,15,"faible",350.281232790258,175.140616395129,4350,216.19406830429,1,507.326154615728
"1...151",19,240,15,"faible",350.281232790258,175.140616395129,4605,214.412442029931,1,499.637132452757
"1...152",20,240,15,"faible",350.281232790258,175.140616395129,4860,212.735465343569,1,492.419577167025
"1...153",2,270,15,"faible",350.281232790258,175.140616395129,300,350.281232790258,1,1463.39648860928
"1...154",3,270,15,"faible",350.281232790258,175.140616395129,585,297.531284119525,1,958.737998682355
"1...155",4,270,15,"faible",350.281232790258,175.140616395129,870,275.998101236681,1,822.93236618685
"1...156",5,270,15,"faible",350.281232790258,175.140616395129,1155,263.161155257516,1,751.211218628363
"1...157",6,270,15,"faible",350.281232790258,175.140616395129,1440,254.172437857761,1,704.062362932999
"1...158",7,270,15,"faible",350.281232790258,175.140616395129,1725,247.301751749445,1,669.419655075947
"1...159",8,270,15,"faible",350.281232790258,175.140616395129,2010,241.756269712134,1,642.208803329017
"1...160",9,270,15,"faible",350.281232790258,175.140616395129,2295,237.112827243112,1,619.871955283885
"1...161",10,270,15,"faible",350.281232790258,175.140616395129,2580,233.120969251543,1,600.957342825385
"1...162",11,270,15,"faible",350.281232790258,175.140616395129,2865,229.620957860898,1,584.568655246787
"1...163",12,270,15,"faible",350.281232790258,175.140616395129,3150,226.504989032047,1,570.116614938177
"1...164",13,270,15,"faible",350.281232790258,175.140616395129,3435,223.697019388703,1,557.194449161832
"1...165",14,270,15,"faible",350.281232790258,175.140616395129,3720,221.141471468748,1,545.51023326018
"1...166",15,270,15,"faible",350.281232790258,175.140616395129,4005,218.796526861343,1,534.847713676877
"1...167",16,270,15,"faible",350.281232790258,175.140616395129,4290,216.629947462859,1,525.042417239783
"1...168",17,270,15,"faible",350.281232790258,175.140616395129,4575,214.616365476145,1,515.966443590667
"1...169",18,270,15,"faible",350.281232790258,175.140616395129,4860,212.735465343569,1,507.518428489466
