"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...114",12,77.5,120,195,"elevee",320,160,3660,255.063861333127,1,281.656796463203
"1...115",15,75,120,195,"elevee",320,160,4605,249.101988359591,1,275.196325217281
"1...116",18,72.5,60,195,"elevee",320,160,4530,249.531324216721,1,263.890178115737
"1...117",21,70,60,195,"elevee",320,160,5295,245.480504140377,1,259.620249122654
"1...118",2,95,420,210,"elevee",320,160,840,293.274896793659,1,346.952662846093
"1...119",3,90,300,210,"elevee",320,160,1230,283.375278972852,1,331.78376923874
"1...120",5,85,240,210,"elevee",320,160,2010,270.625813187308,1,314.020940208686
"1...121",7,82.5,180,210,"elevee",320,160,2550,264.448640121836,1,299.471127695764
"1...122",9,80,120,210,"elevee",320,160,2850,261.561215009197,1,286.77504777434
"1...123",12,77.5,120,210,"elevee",320,160,3840,253.819278501478,1,278.602538202291
"1...124",15,75,120,210,"elevee",320,160,4830,247.864134218635,1,272.187147926347
"1...125",18,72.5,60,210,"elevee",320,160,4800,248.024043242776,1,261.331212674669
"1...126",21,70,60,210,"elevee",320,160,5610,243.975986293594,1,257.07993150407
"1...127",2,95,420,225,"elevee",320,160,870,292.364555298251,1,342.791764273645
"1...128",3,90,300,225,"elevee",320,160,1275,282.442727856896,1,327.948459536361
"1...129",5,85,240,225,"elevee",320,160,2085,269.674513823008,1,310.484278081816
"1...130",7,82.5,180,225,"elevee",320,160,2655,263.40097698998,1,296.275189436417
"1...131",9,80,120,225,"elevee",320,160,2985,260.359434899412,1,283.949559662646
"1...132",12,77.5,120,225,"elevee",320,160,4020,252.631683852366,1,275.826485476349
"1...133",15,75,120,225,"elevee",320,160,5055,246.684039210568,1,269.451621726096
"1...134",18,72.5,60,225,"elevee",320,160,5070,246.607543154851,1,258.999603804132
"1...135",21,70,60,225,"elevee",320,160,5925,242.562083506142,1,254.764620213712
"1...136",2,95,420,240,"elevee",320,160,900,291.48483348601,1,339.029415024994
"1...137",3,90,300,240,"elevee",320,160,1320,281.54233161081,1,324.468930954752
"1...138",5,85,240,240,"elevee",320,160,2160,268.756428505903,1,307.26559513708
"1...139",7,82.5,180,240,"elevee",320,160,2760,262.394063748705,1,293.360704834509
"1...140",9,80,120,240,"elevee",320,160,3120,259.209891568654,1,281.364526747657
"1...141",12,77.5,120,240,"elevee",320,160,4200,251.494885389671,1,273.284224756965
"1...142",15,75,120,240,"elevee",320,160,5280,245.554109539377,1,266.944808463248
"1...143",18,72.5,60,240,"elevee",320,160,5340,245.259687943377,1,256.847787207991
"1...144",21,70,60,240,"elevee",320,160,6240,241.215856737679,1,252.626312206963
"1...145",2,95,420,255,"elevee",320,160,930,290.633289196298,1,335.602970404747
"1...146",3,90,300,255,"elevee",320,160,1365,280.671563764105,1,321.29062485376
"1...147",5,85,240,255,"elevee",320,160,2235,267.868977488141,1,304.317176214933
"1...148",7,82.5,180,255,"elevee",320,160,2865,261.424888719838,1,290.68623309069
"1...149",9,80,120,255,"elevee",320,160,3255,258.108925270859,1,278.985587468728
"1...150",12,77.5,120,255,"elevee",320,160,4380,250.405311986231,1,270.942505460154
"1...151",15,75,120,255,"elevee",320,160,5505,244.470811046217,1,264.634318022258
"1...152",18,72.5,60,255,"elevee",320,160,5610,243.975986293594,1,254.85254923475
"1...153",21,70,60,255,"elevee",320,160,6555,239.935322341878,1,250.644782174413
"1...154",2,95,420,270,"elevee",320,160,960,289.807621115155,1,332.46256997391
"1...155",3,90,300,270,"elevee",320,160,1410,279.828042872639,1,318.369852478416
"1...156",5,85,240,270,"elevee",320,160,2310,267.01011062575,1,301.601063598227
"1...157",7,82.5,180,270,"elevee",320,160,2970,260.490609648598,1,288.218314360045
"1...158",9,80,120,270,"elevee",320,160,3390,257.053078259362,1,276.784910258207
"1...159",12,77.5,120,270,"elevee",320,160,4560,249.359589873869,1,268.774358909981
"1...160",15,75,120,270,"elevee",320,160,5730,243.430805038112,1,262.493851277874
"1...161",18,72.5,60,270,"elevee",320,160,5880,242.758800922455,1,253.00185615501
"1...162",21,70,60,270,"elevee",320,160,6870,238.719593949167,1,248.804796431236
"1...163",2,95,420,285,"elevee",320,160,990,289.005883962898,1,329.568194406432
"1...164",3,90,300,285,"elevee",320,160,1455,279.009899241317,1,315.671563517428
"1...165",5,85,240,285,"elevee",320,160,2385,266.183316827702,1,299.092641697378
