"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...128",15,105,15,"all around",391.34815655162,195.67407827581,1695,0,876.86525471639
"1...129",16,105,15,"all around",391.34815655162,195.67407827581,1815,0,876.215486781986
"1...130",17,105,15,"all around",391.34815655162,195.67407827581,1935,0,875.77101000585
"1...131",18,105,15,"all around",391.34815655162,195.67407827581,2055,0,875.466783656966
"1...132",19,105,15,"all around",391.34815655162,195.67407827581,2175,0,875.258468709298
"1...133",20,105,15,"all around",391.34815655162,195.67407827581,2295,0,875.115788265758
"1...134",2,120,15,"all around",391.34815655162,195.67407827581,150,0,1436.4574950334
"1...135",3,120,15,"all around",391.34815655162,195.67407827581,285,0,1195.98635390775
"1...136",4,120,15,"all around",391.34815655162,195.67407827581,420,0,1087.50641920787
"1...137",5,120,15,"all around",391.34815655162,195.67407827581,555,0,1030.01870391465
"1...138",6,120,15,"all around",391.34815655162,195.67407827581,690,0,996.946866362643
"1...139",7,120,15,"all around",391.34815655162,195.67407827581,825,0,977.017390334099
"1...140",8,120,15,"all around",391.34815655162,195.67407827581,960,0,964.670252289694
"1...141",9,120,15,"all around",391.34815655162,195.67407827581,1095,0,956.888951367486
"1...142",10,120,15,"all around",391.34815655162,195.67407827581,1230,0,951.932205405887
"1...143",11,120,15,"all around",391.34815655162,195.67407827581,1365,0,948.753115168393
"1...144",12,120,15,"all around",391.34815655162,195.67407827581,1500,0,946.705226760738
"1...145",13,120,15,"all around",391.34815655162,195.67407827581,1635,0,945.382314864674
"1...146",14,120,15,"all around",391.34815655162,195.67407827581,1770,0,944.526176329373
"1...147",15,120,15,"all around",391.34815655162,195.67407827581,1905,0,943.971464680736
"1...148",16,120,15,"all around",391.34815655162,195.67407827581,2040,0,943.611780800603
"1...149",17,120,15,"all around",391.34815655162,195.67407827581,2175,0,943.378440957028
"1...150",18,120,15,"all around",391.34815655162,195.67407827581,2310,0,943.227016577501
"1...151",19,120,15,"all around",391.34815655162,195.67407827581,2445,0,943.128730300774
"1...152",20,120,15,"all around",391.34815655162,195.67407827581,2580,0,943.064926214135
"1...153",2,135,15,"all around",391.34815655162,195.67407827581,165,0,1461.64461210557
"1...154",3,135,15,"all around",391.34815655162,195.67407827581,315,0,1232.17910587734
"1...155",4,135,15,"all around",391.34815655162,195.67407827581,465,0,1130.96635597954
"1...156",5,135,15,"all around",391.34815655162,195.67407827581,615,0,1078.86747727829
"1...157",6,135,15,"all around",391.34815655162,195.67407827581,765,0,1049.91712816772
"1...158",7,135,15,"all around",391.34815655162,195.67407827581,915,0,1033.14334474126
"1...159",8,135,15,"all around",391.34815655162,195.67407827581,1065,0,1023.18854020411
"1...160",9,135,15,"all around",391.34815655162,195.67407827581,1215,0,1017.1962771325
"1...161",10,135,15,"all around",391.34815655162,195.67407827581,1365,0,1013.55843052175
"1...162",11,135,15,"all around",391.34815655162,195.67407827581,1515,0,1011.33850925738
"1...163",12,135,15,"all around",391.34815655162,195.67407827581,1665,0,1009.97958233776
"1...164",13,135,15,"all around",391.34815655162,195.67407827581,1815,0,1009.14611244124
"1...165",14,135,15,"all around",391.34815655162,195.67407827581,1965,0,1008.63431766351
"1...166",15,135,15,"all around",391.34815655162,195.67407827581,2115,0,1008.31982090328
"1...167",16,135,15,"all around",391.34815655162,195.67407827581,2265,0,1008.12647736176
"1...168",17,135,15,"all around",391.34815655162,195.67407827581,2415,0,1008.00758282296
"1...169",18,135,15,"all around",391.34815655162,195.67407827581,2565,0,1007.93445760728
"1...170",19,135,15,"all around",391.34815655162,195.67407827581,2715,0,1007.88947782798
"1...171",20,135,15,"all around",391.34815655162,195.67407827581,2865,0,1007.86180872357
"1...172",2,150,15,"all around",391.34815655162,195.67407827581,180,0,1486.55404036727
"1...173",3,150,15,"all around",391.34815655162,195.67407827581,345,0,1268.12390194999
"1...174",4,150,15,"all around",391.34815655162,195.67407827581,510,0,1174.14011587023
"1...175",5,150,15,"all around",391.34815655162,195.67407827581,675,0,1127.27419679509
"1...176",6,150,15,"all around",391.34815655162,195.67407827581,840,0,1102.18843230154
"1...177",7,150,15,"all around",391.34815655162,195.67407827581,1005,0,1088.25063706829
"1...178",8,150,15,"all around",391.34815655162,195.67407827581,1170,0,1080.34594350182
