X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...48,11,90,15,elevee,312.947910877278,156.473955438639,1065,273.737134029591,1,611.635797429647,107.62201423316999,195.44332336811766,165
1...49,12,90,15,elevee,312.947910877278,156.473955438639,1170,271.671624265586,1,604.287097696061,106.3289540973066,193.0951051892566,180
1...50,13,90,15,elevee,312.947910877278,156.473955438639,1275,269.833101928008,1,597.811402744651,105.18950585513522,191.02584870077044,195
1...51,14,90,15,elevee,312.947910877278,156.473955438639,1380,268.177173569977,1,592.029177758941,104.1720789773648,189.1781849891001,210
1...52,15,90,15,elevee,312.947910877278,156.473955438639,1485,266.671108624351,1,586.809797665029,103.2536889794021,187.510373857439,225
1...53,16,90,15,elevee,312.947910877278,156.473955438639,1590,265.29013646572,1,582.055567526945,102.41714568723566,185.99119767097505,240
1...54,17,90,15,elevee,312.947910877278,156.473955438639,1695,264.015089827177,1,577.69169407902,101.64928865156509,184.5967568403295,255
1...55,18,90,15,elevee,312.947910877278,156.473955438639,1800,262.830851697536,1,573.659757936516,100.93983853314603,183.3083839187141,270
1...56,19,90,15,elevee,312.947910877278,156.473955438639,1905,261.725300505767,1,569.913329310507,100.2806256541643,182.1112426387143,285
1...57,20,90,15,elevee,312.947910877278,156.473955438639,2010,260.688574752698,1,566.414942315013,99.66505760434701,180.99336107635233,300
1...58,2,120,15,elevee,312.947910877278,156.473955438639,150,332.215263907082,1,1091.44433815968,192.0480105804223,348.7623020393602,30
1...59,3,120,15,elevee,312.947910877278,156.473955438639,285,313.946011935033,1,859.986855462523,151.32128954498066,274.8019160926003,45
1...60,4,120,15,elevee,312.947910877278,156.473955438639,420,299.408666481497,1,778.214384306178,136.9327954580532,248.67217746385708,60
1...61,5,120,15,elevee,312.947910877278,156.473955438639,555,290.360414982835,1,734.414112712384,129.22580140588408,234.67615126543643,75
1...62,6,120,15,elevee,312.947910877278,156.473955438639,690,284.246361259325,1,706.732324104261,124.35497818052225,225.83065728833222,90
1...63,7,120,15,elevee,312.947910877278,156.473955438639,825,279.694144195051,1,687.024138773381,120.88717166706537,219.53306441556543,105
1...64,8,120,15,elevee,312.947910877278,156.473955438639,960,276.091750409781,1,671.930550860603,118.23133899670009,214.71002921125094,120
1...65,9,120,15,elevee,312.947910877278,156.473955438639,1095,273.120619700985,1,659.791968270294,116.0954621991112,210.831242305059,135
1...66,10,120,15,elevee,312.947910877278,156.473955438639,1230,270.596413196958,1,649.684559821711,114.31698608557244,207.60150083778117,150
1...67,11,120,15,elevee,312.947910877278,156.473955438639,1365,268.403895755414,1,641.048311595463,112.79737190760511,204.84185684398102,165
1...68,12,120,15,elevee,312.947910877278,156.473955438639,1500,266.466667273263,1,633.521274865006,111.47293200800618,202.43665250522804,180
1...69,13,120,15,elevee,312.947910877278,156.473955438639,1635,264.731678072519,1,626.85751752032,110.30039274393755,200.30730218427345,195
1...70,14,120,15,elevee,312.947910877278,156.473955438639,1770,263.160693758974,1,620.883099535521,109.24914803246541,198.3982247381096,210
1...71,15,120,15,elevee,312.947910877278,156.473955438639,1905,261.725300505767,1,615.470889287205,108.29682808843177,196.66879627407414,225
1...72,16,120,15,elevee,312.947910877278,156.473955438639,2040,260.403835064946,1,610.525386277413,107.42662886604037,195.0885003724564,240
1...73,17,120,15,elevee,312.947910877278,156.473955438639,2175,259.179418772357,1,605.973169064662,106.62563129898821,193.6338757993158,255
1...74,18,120,15,elevee,312.947910877278,156.473955438639,2310,258.03865395532,1,601.756659212339,105.88370401930965,192.28652382610628,270
1...75,19,120,15,elevee,312.947910877278,156.473955438639,2445,256.97073333725,1,597.829920364133,105.19276417244731,191.03176585785585,285
1...76,20,120,15,elevee,312.947910877278,156.473955438639,2580,255.966815606958,1,594.15575035183,104.54626575129392,189.857714239488,300
1...77,2,150,15,elevee,312.947910877278,156.473955438639,180,325.682697588022,1,1139.84902792223,200.565187358612,364.22963320858213,30
1...78,3,150,15,elevee,312.947910877278,156.473955438639,345,306.903125770724,1,888.267479629001,156.29748248423994,283.8387631791329,45
1...79,4,150,15,elevee,312.947910877278,156.473955438639,510,292.941481274883,1,803.020345344069,141.29759474401135,256.5987237598056,60
1...80,5,150,15,elevee,312.947910877278,156.473955438639,675,284.832805662178,1,759.773359710464,133.68795560424712,242.77949566131082,75
1...81,6,150,15,elevee,312.947910877278,156.473955438639,840,279.254484977035,1,732.195801040985,128.83547243678808,233.96730752681535,90
1...82,7,150,15,elevee,312.947910877278,156.473955438639,1005,275.042251108288,1,712.401898185276,125.35258326676346,227.642324305096,105
1...83,8,150,15,elevee,312.947910877278,156.473955438639,1170,271.671624265586,1,697.136551559304,122.66652833217864,222.76440497878417,120
1...84,9,150,15,elevee,312.947910877278,156.473955438639,1335,268.86681345575,1,684.787046347025,120.49353807995034,218.8182194370242,135
1...85,10,150,15,elevee,312.947910877278,156.473955438639,1500,266.466667273263,1,674.452434564708,118.67508379554634,215.5158769630494,150
1...86,11,150,15,elevee,312.947910877278,156.473955438639,1665,264.369525288891,1,665.584449290908,117.11469370496104,212.68218325059078,165
1...87,12,150,15,elevee,312.947910877278,156.473955438639,1830,262.507419107065,1,657.827333287184,115.74976959085677,210.20345892168297,180
1...88,13,150,15,elevee,312.947910877278,156.473955438639,1995,260.832788788705,1,650.938422374251,114.53761282789685,208.00216258018588,195
1...89,14,150,15,elevee,312.947910877278,156.473955438639,2160,259.311114113975,1,644.745444938989,113.4479109031822,206.02324621103634,210
1...90,15,150,15,elevee,312.947910877278,156.473955438639,2325,257.916575661382,1,639.122039059712,112.45842946648123,204.22633187359497,225
1...91,16,150,15,elevee,312.947910877278,156.473955438639,2490,256.629371967537,1,633.972961381484,111.55240971828671,202.58098531614596,240
1...92,17,150,15,elevee,312.947910877278,156.473955438639,2655,255.433991641719,1,629.224754648758,110.71692629053615,201.06373386065118,255
1...93,18,150,15,elevee,312.947910877278,156.473955438639,2820,254.318061422004,1,624.819639594875,109.94181247767551,199.65611460493085,270
1...94,19,150,15,elevee,312.947910877278,156.473955438639,2985,253.271555115999,1,620.711389861509,109.21893439706648,198.34335628619039,285
1...95,20,150,15,elevee,312.947910877278,156.473955438639,3150,252.286236240533,1,616.86246954288,108.5416873179148,197.11346460618543,300
1...96,2,180,15,elevee,312.947910877278,156.473955438639,210,321.100941429213,1,1185.19825347645,208.54473175181093,378.7206152468049,30
1...97,3,180,15,elevee,312.947910877278,156.473955438639,405,300.715748401562,1,910.153315495777,160.1484633278357,290.8322068501336,45
1...98,4,180,15,elevee,312.947910877278,156.473955438639,600,288.089162737171,1,825.587390854097,145.2684396541479,263.8098425197188,60
1...99,5,180,15,elevee,312.947910877278,156.473955438639,795,280.608420045826,1,782.386582275033,137.66692572164257,250.00536992938885,75
1...100,6,180,15,elevee,312.947910877278,156.473955438639,990,275.38491339166,1,754.637096044453,132.78419057987847,241.13824371889882,90
1...101,7,180,15,elevee,312.947910877278,156.473955438639,1185,271.396273277381,1,734.593183638587,129.25731031012015,234.7333719465718,105
1...102,8,180,15,elevee,312.947910877278,156.473955438639,1380,268.177173569977,1,719.052906023024,126.52287915720531,229.7676006231591,120
1...103,9,180,15,elevee,312.947910877278,156.473955438639,1575,265.480535657131,1,706.425572600501,124.30100289843047,225.7326373006288,135
1...104,10,180,15,elevee,312.947910877278,156.473955438639,1770,263.160693758974,1,695.819699210089,122.4348180515414,222.34361535103955,150
1...105,11,180,15,elevee,312.947910877278,156.473955438639,1965,261.125014087748,1,686.690976005794,120.8285491203376,219.4266049199091,165
1...106,12,180,15,elevee,312.947910877278,156.473955438639,2160,259.311114113975,1,678.685055379762,119.41984592280517,216.8683770654431,180
1...107,13,180,15,elevee,312.947910877278,156.473955438639,2355,257.675058760003,1,671.559472586692,118.16604492554809,214.59145411903484,195
1...108,14,180,15,elevee,312.947910877278,156.473955438639,2550,256.184772949807,1,665.141583184809,117.0367680136031,212.54066893120856,210
1...109,15,180,15,elevee,312.947910877278,156.473955438639,2745,254.816140548854,1,659.304396072983,116.00967012778507,210.67544251206974,225
1...110,16,180,15,elevee,312.947910877278,156.473955438639,2940,253.550579280075,1,653.951942198039,115.06786477641032,208.96510871883888,240
1...111,17,180,15,elevee,312.947910877278,156.473955438639,3135,252.373470961566,1,649.010023245526,114.19829619641284,207.3859580740369,255
1...112,18,180,15,elevee,312.947910877278,156.473955438639,3330,251.273110033406,1,644.420143880823,113.39067168458328,205.9192988616982,270
1...113,19,180,15,elevee,312.947910877278,156.473955438639,3525,250.239978300987,1,640.135405463581,112.63673906510007,204.55014499668894,285
1...114,20,180,15,elevee,312.947910877278,156.473955438639,3720,249.266231825198,1,636.117650918866,111.92978430768754,203.2663036911336,300
1...115,2,210,15,elevee,312.947910877278,156.473955438639,240,317.694598701003,1,1227.98025507343,216.0725533805365,392.3912614182558,30
1...116,3,210,15,elevee,312.947910877278,156.473955438639,465,295.917222639147,1,930.817514174459,163.78448772938322,297.4352861359978,45
1...117,4,210,15,elevee,312.947910877278,156.473955438639,690,284.246361259325,1,846.26709938686,148.90719313359384,270.41787785530937,60
1...118,5,210,15,elevee,312.947910877278,156.473955438639,915,277.210367982083,1,802.814736512381,141.2614162915673,256.5330231033891,75
1...119,6,210,15,elevee,312.947910877278,156.473955438639,1140,272.23629090638,1,774.7374117359,136.3209954407564,247.56113870966595,90
1...120,7,210,15,elevee,312.947910877278,156.473955438639,1365,268.403895755414,1,754.354642485467,132.73449070771085,241.04798794496057,105
1...121,8,210,15,elevee,312.947910877278,156.473955438639,1590,265.29013646572,1,738.486494190337,129.94236819158397,235.977448170259,120
1...122,9,210,15,elevee,312.947910877278,156.473955438639,1815,262.66834990715,1,725.549298781683,127.66596933746422,231.8434709302808,135
1...123,10,210,15,elevee,312.947910877278,156.473955438639,2040,260.403835064946,1,714.653051511656,125.74869097718666,228.36166233169263,150
1...124,11,210,15,elevee,312.947910877278,156.473955438639,2265,258.410326952784,1,705.252825037663,124.09464896128344,225.35789520391677,165
1...125,12,210,15,elevee,312.947910877278,156.473955438639,2490,256.629371967537,1,696.992908285451,122.64125319536016,222.71850492038453,180
1...126,13,210,15,elevee,312.947910877278,156.473955438639,2715,255.019577545096,1,689.629278441123,121.34556599188969,220.3655159441406,195
1...127,14,210,15,elevee,312.947910877278,156.473955438639,2940,253.550579280075,1,682.987763767007,120.17694049647017,218.24327309053024,210
1...128,15,210,15,elevee,312.947910877278,156.473955438639,3165,252.199449862572,1,676.939963086386,119.11278353629153,216.3107467912917,225
1...129,16,210,15,elevee,312.947910877278,156.473955438639,3390,250.948456057314,1,671.388640475041,118.1359857039838,214.5368660851438,240
1...130,17,210,15,elevee,312.947910877278,156.473955438639,3615,249.783600393828,1,666.258473859916,117.23329350252708,212.89756240653995,255
1...131,18,210,15,elevee,312.947910877278,156.473955438639,3840,248.693640371564,1,661.489976589905,116.39423979896586,211.37382727226682,270
1...132,19,210,15,elevee,312.947910877278,156.473955438639,4065,247.669409409349,1,657.035376958011,115.61041879469917,209.9503956157312,285
1...133,20,210,15,elevee,312.947910877278,156.473955438639,4290,246.703334754835,1,652.855748525299,114.8749810839487,208.61482880494938,300
1...134,2,240,15,elevee,312.947910877278,156.473955438639,270,315.05558178705,1,1268.61059742599,223.2217740463997,405.3743621006224,30
1...135,3,240,15,elevee,312.947910877278,156.473955438639,525,292.042057836172,1,950.324921362812,167.21696578724027,303.6687219604033,45
1...136,4,240,15,elevee,312.947910877278,156.473955438639,780,281.084237498266,1,865.361104951681,152.26693000200657,276.51921449989516,60
1...137,5,240,15,elevee,312.947910877278,156.473955438639,1035,274.377079435319,1,821.472862201674,144.544456749526,262.49507782265187,75
1...138,6,240,15,elevee,312.947910877278,156.473955438639,1290,269.586230120485,1,792.975201973625,139.53007464899514,253.38887859986033,90
1...139,7,240,15,elevee,312.947910877278,156.473955438639,1545,265.868000722141,1,772.203595138272,135.87515095768308,246.75147789725634,105
1...140,8,240,15,elevee,312.947910877278,156.473955438639,1800,262.830851697536,1,755.979921758594,133.0204710734782,241.5673329275076,120
1...141,9,240,15,elevee,312.947910877278,156.473955438639,2055,260.263267536933,1,742.717955102295,130.6869262249882,237.32957763490253,135
1...142,10,240,15,elevee,312.947910877278,156.473955438639,2310,258.03865395532,1,731.524137152011,128.71728801899758,233.7526827072755,150
1...143,11,240,15,elevee,312.947910877278,156.473955438639,2565,256.075440390991,1,721.850076159172,127.01506271720982,230.66141395084892,165
1...144,12,240,15,elevee,312.947910877278,156.473955438639,2820,254.318061422004,1,713.336993822976,125.51712052317134,227.9411266313613,180
1...145,13,240,15,elevee,312.947910877278,156.473955438639,3075,252.726988911273,1,705.738243775178,124.18006211482584,225.51300687606513,195
1...146,14,240,15,elevee,312.947910877278,156.473955438639,3330,251.273110033406,1,698.877436912866,122.97285047533428,223.32069095899146,210
1...147,15,240,15,elevee,312.947910877278,156.473955438639,3585,249.934365399337,1,692.624302271938,121.87256342844132,221.32255183628607,225
1...148,16,240,15,elevee,312.947910877278,156.473955438639,3840,248.693640371564,1,686.880023731577,120.86181351905407,219.48701360749325,240
1...149,17,240,15,elevee,312.947910877278,156.473955438639,4095,247.537388839721,1,681.567937930535,119.92711124019779,217.78957910916068,255
1...150,18,240,15,elevee,312.947910877278,156.473955438639,4350,246.454704392127,1,676.627413638894,119.0577880614879,216.21087411707705,270
1...151,19,240,15,elevee,312.947910877278,156.473955438639,4605,245.436675184105,1,672.009696860092,118.2452653429331,214.73531968188135,285
1...152,20,240,15,elevee,312.947910877278,156.473955438639,4860,244.475924583461,1,667.675013300078,117.48254449213825,213.3502062462739,300
1...153,2,270,15,elevee,312.947910877278,156.473955438639,300,312.947910877278,1,1307.4262364768001,230.0516837344055,417.7775888682974,30
1...154,3,270,15,elevee,312.947910877278,156.473955438639,585,288.815995709957,1,968.778287226029,170.46397718181038,309.56534731619723,45
1...155,4,270,15,elevee,312.947910877278,156.473955438639,870,278.407420413188,1,883.113953288725,155.39067995980466,282.19199508733476,60
1...156,5,270,15,elevee,312.947910877278,156.473955438639,1155,271.951579014926,1,838.671426572768,147.57067618814358,267.9907414054129,75
1...157,6,270,15,elevee,312.947910877278,156.473955438639,1440,267.299952999337,1,809.696910087278,142.47238756817558,258.7321665824442,90
1...158,7,270,15,elevee,312.947910877278,156.473955438639,1725,263.668048843354,1,788.50802655361,138.74404083826118,251.96142845089068,105
1...159,8,270,15,elevee,312.947910877278,156.473955438639,2010,260.688574752698,1,771.914841658709,135.8243425661239,246.65920903412393,120
1...160,9,270,15,elevee,312.947910877278,156.473955438639,2295,258.161629585893,1,758.322189064764,133.43261098814943,242.3157856970449,135
1...161,10,270,15,elevee,312.947910877278,156.473955438639,2580,255.966815606958,1,746.829649236477,131.41041037436435,238.64343658435385,150
1...162,11,270,15,elevee,312.947910877278,156.473955438639,2865,254.026140852552,1,736.883519332646,129.66031245894894,235.46523038513385,165
1...163,12,270,15,elevee,312.947910877278,156.473955438639,3150,252.286236240533,1,728.120864087395,128.11845599553087,232.66519404020767,180
1...164,13,270,15,elevee,312.947910877278,156.473955438639,3435,250.708988285315,1,720.291742386311,126.74086192617098,230.16346086706173,195
1...165,14,270,15,elevee,312.947910877278,156.473955438639,3720,249.266231825198,1,713.217120312061,125.49602785862801,227.90282201044886,210
1...166,15,270,15,elevee,312.947910877278,156.473955438639,4005,247.936563336728,1,706.764577684539,124.36065344559069,225.84096366174356,225
1...167,16,270,15,elevee,312.947910877278,156.473955438639,4290,246.703334754835,1,700.833531796307,123.31704038748758,223.94574542187559,240
1...168,17,270,15,elevee,312.947910877278,156.473955438639,4575,245.553339781232,1,695.345851783317,122.35144095895998,222.19220119861922,255
1...169,18,270,15,elevee,312.947910877278,156.473955438639,4860,244.475924583461,1,690.239675484031,121.45297003775453,220.5605634334167,270
1...170,19,270,15,elevee,312.947910877278,156.473955438639,5145,243.462368425678,1,685.465207199785,120.61286568839778,219.03492030933833,285
1...171,2,300,15,elevee,312.947910877278,156.473955438639,330,308.754102534943,1,1328.88756497004,233.8279692465822,424.635384605958,30
1...172,3,300,15,elevee,312.947910877278,156.473955438639,645,286.066340264099,1,986.284314947094,173.5442971573256,315.1592583514206,45
1...173,4,300,15,elevee,312.947910877278,156.473955438639,960,276.091750409781,1,899.721735603511,158.3129467600386,287.498878992784,60
1...174,5,300,15,elevee,312.947910877278,156.473955438639,1275,269.833101928008,1,854.646958561021,150.38169368948596,273.09559477972346,75
1...175,6,300,15,elevee,312.947910877278,156.473955438639,1590,265.29013646572,1,825.160618078246,145.19334570779947,263.67347069520184,90
1...176,7,300,15,elevee,312.947910877278,156.473955438639,1905,261.725300505767,1,803.538609454731,141.3887872931208,256.76433090803965,105
1...177,8,300,15,elevee,312.947910877278,156.473955438639,2220,258.790449307746,1,786.569690375179,138.4029757065923,251.342048640047,120
1...178,9,300,15,elevee,312.947910877278,156.473955438639,2535,256.294822691814,1,772.645369087049,135.95288447557544,246.89264322650826,135
1...179,10,300,15,elevee,312.947910877278,156.473955438639,2850,254.122886277061,1,760.856121551019,133.87847586271639,243.12548354073772,150
1...180,11,300,15,elevee,312.947910877278,156.473955438639,3165,252.199449862572,1,750.641699971732,132.08116996726466,239.86154688410588,165
1...181,12,300,15,elevee,312.947910877278,156.473955438639,3480,250.472860088804,1,741.634295679135,130.49624802996865,236.98330294013869,180
1...182,13,300,15,elevee,312.947910877278,156.473955438639,3795,248.906106266466,1,733.580239528309,129.07907501730068,234.4096937640147,195
1...183,14,300,15,elevee,312.947910877278,156.473955438639,4110,247.471760542391,1,726.297582601739,127.7976356203583,232.08257903551095,210
1...184,15,300,15,elevee,312.947910877278,156.473955438639,4425,246.148928720983,1,719.651583202452,126.62822100311466,229.95890312386913,225
1...185,16,300,15,elevee,312.947910877278,156.473955438639,4740,244.921324412224,1,713.539780473907,125.55280239124464,228.00592548250637,240
1...186,17,300,15,elevee,312.947910877278,156.473955438639,5055,243.776004270674,1,707.882503216176,124.55736102546595,226.19818781719587,255
1...187,18,300,15,elevee,312.947910877278,156.473955438639,5370,242.702509580306,1,702.616610753984,123.63078681921773,224.51551403054867,270
1...188,2,30,30,elevee,312.947910877278,156.473955438639,90,360.027814544575,1,482.520200834368,100.25030594177913,154.18546795271226,60
1...189,3,30,30,elevee,312.947910877278,156.473955438639,150,332.215263907082,1,443.370720438141,92.1164550058042,141.67556485526694,90
1...190,4,30,30,elevee,312.947910877278,156.473955438639,210,321.100941429213,1,427.426915206621,88.80390695170794,136.5808495121208,120
1...191,5,30,30,elevee,312.947910877278,156.473955438639,270,315.05558178705,1,418.690501225068,86.98879501863186,133.78919835296705,150
1...192,6,30,30,elevee,312.947910877278,156.473955438639,330,308.754102534943,1,409.410536350252,85.06075280149656,130.82385985660142,180
1...193,7,30,30,elevee,312.947910877278,156.473955438639,390,302.107867134957,1,399.531110606405,83.0081642225373,127.66696843778595,210
1...194,8,30,30,elevee,312.947910877278,156.473955438639,450,297.016367556667,1,391.948982305458,81.43287124921643,125.24416002865095,240
1...195,9,30,30,elevee,312.947910877278,156.473955438639,510,292.941481274883,1,385.872103954138,80.17031496071831,123.3023421924862,270
1...196,10,30,30,elevee,312.947910877278,156.473955438639,570,289.572332087485,1,380.84184888922,79.12520926700599,121.69496445003159,300
1...197,11,30,30,elevee,312.947910877278,156.473955438639,630,286.716088144262,1,376.573234133873,78.23834497732203,120.33096277212265,330
1...198,12,30,30,elevee,312.947910877278,156.473955438639,690,284.246361259325,1,372.879207496682,77.47085938833506,119.15056612820973,360
1...199,13,30,30,elevee,312.947910877278,156.473955438639,750,282.076579073797,1,369.631492505632,76.79610127271323,118.11278479842046,390
1...200,14,30,30,elevee,312.947910877278,156.473955438639,810,280.145262865743,1,366.738903084643,76.19512545052658,117.18848100202179,420
1...201,15,30,30,elevee,312.947910877278,156.473955438639,870,278.407420413188,1,364.134647836905,75.65405507692405,116.35631208277974,450
1...202,16,30,30,elevee,312.947910877278,156.473955438639,930,276.829275688477,1,361.768547151421,75.16246463739704,115.60024354765159,480
1...203,17,30,30,elevee,312.947910877278,156.473955438639,990,275.38491339166,1,359.602073086334,74.71234941431553,114.90796410120512,510
1...204,18,30,30,elevee,312.947910877278,156.473955438639,1050,274.054070149738,1,357.605081434903,74.2974465280261,114.26984140345876,540
1...205,19,30,30,elevee,312.947910877278,156.473955438639,1110,272.820637953677,1,355.753595848306,73.91277455743878,113.67821400405968,570
1...206,20,30,30,elevee,312.947910877278,156.473955438639,1170,271.671624265586,1,354.028267064356,73.55431342328926,113.12689900115281,600
1...207,2,60,30,elevee,312.947910877278,156.473955438639,120,342.346752687712,1,506.237583206258,105.17792313751247,161.76416764922206,60
1...208,3,60,30,elevee,312.947910877278,156.473955438639,210,321.100941429213,1,473.908156476996,98.46103353387205,151.433558111477,90
1...209,4,60,30,elevee,312.947910877278,156.473955438639,300,312.947910877278,1,461.233065355897,95.82760645551792,147.38333419863244,120
1...210,5,60,30,elevee,312.947910877278,156.473955438639,390,302.107867134957,1,443.554616109503,92.1546618980411,141.73432724509934,150
1...211,6,60,30,elevee,312.947910877278,156.473955438639,480,294.874917207978,1,431.702204946594,89.69215806260632,137.94698412793858,180
1...212,7,60,30,elevee,312.947910877278,156.473955438639,570,289.572332087485,1,422.983656036188,87.88075784739215,135.1610416092729,210
1...213,8,60,30,elevee,312.947910877278,156.473955438639,660,285.43904205378,1,416.170243734121,86.46517635130435,132.9838702445665,240
