"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...170",19,135,15,"time-trialist",382.014826073375,191.007413036687,2715,288.836301812046,1,665.180276623149
"1...171",20,135,15,"time-trialist",382.014826073375,191.007413036687,2865,287.233714140327,1,659.256287913107
"1...172",2,150,15,"time-trialist",382.014826073375,191.007413036687,180,403.479770969988,1,1420.59330127018
"1...173",3,150,15,"time-trialist",382.014826073375,191.007413036687,345,372.41488199882,1,1075.37518988462
"1...174",4,150,15,"time-trialist",382.014826073375,191.007413036687,510,350.096242360793,1,951.379053086871
"1...175",5,150,15,"time-trialist",382.014826073375,191.007413036687,675,337.044806200433,1,887.221248034944
"1...176",6,150,15,"time-trialist",382.014826073375,191.007413036687,840,328.035911504708,1,845.767712011081
"1...177",7,150,15,"time-trialist",382.014826073375,191.007413036687,1005,321.222191493813,1,815.730571931547
"1...178",8,150,15,"time-trialist",382.014826073375,191.007413036687,1170,315.766086069275,1,792.39929979771
"1...179",9,150,15,"time-trialist",382.014826073375,191.007413036687,1335,311.225086066835,1,773.419540492167
"1...180",10,150,15,"time-trialist",382.014826073375,191.007413036687,1500,307.339702977139,1,757.46631428704
"1...181",11,150,15,"time-trialist",382.014826073375,191.007413036687,1665,303.945800895337,1,743.728201211416
"1...182",12,150,15,"time-trialist",382.014826073375,191.007413036687,1830,300.933416815488,1,731.675782021612
"1...183",13,150,15,"time-trialist",382.014826073375,191.007413036687,1995,298.225485916934,1,720.946179917015
"1...184",14,150,15,"time-trialist",382.014826073375,191.007413036687,2160,295.766006656671,1,711.280669765904
"1...185",15,150,15,"time-trialist",382.014826073375,191.007413036687,2325,293.513055573449,1,702.488743550736
"1...186",16,150,15,"time-trialist",382.014826073375,191.007413036687,2490,291.434459620643,1,694.426311314404
"1...187",17,150,15,"time-trialist",382.014826073375,191.007413036687,2655,289.505004259959,1,686.981895099048
"1...188",18,150,15,"time-trialist",382.014826073375,191.007413036687,2820,287.704569526517,1,680.067561451941
"1...189",19,150,15,"time-trialist",382.014826073375,191.007413036687,2985,286.016848505684,1,673.612778066317
"1...190",20,150,15,"time-trialist",382.014826073375,191.007413036687,3150,284.42844349517,1,667.560138111421
"1...191",2,165,15,"time-trialist",382.014826073375,191.007413036687,195,399.322491296225,1,1443.90710145962
"1...192",3,165,15,"time-trialist",382.014826073375,191.007413036687,375,367.145113982902,1,1083.54576232641
"1...193",4,165,15,"time-trialist",382.014826073375,191.007413036687,555,345.948362912298,1,960.662015685712
"1...194",5,165,15,"time-trialist",382.014826073375,191.007413036687,735,333.432608986284,1,896.803315088608
"1...195",6,165,15,"time-trialist",382.014826073375,191.007413036687,915,324.730232533785,1,855.365530193705
"1...196",7,165,15,"time-trialist",382.014826073375,191.007413036687,1095,318.111850076132,1,825.229454831778
"1...197",8,165,15,"time-trialist",382.014826073375,191.007413036687,1275,312.789501681228,1,801.75000320809
"1...198",9,165,15,"time-trialist",382.014826073375,191.007413036687,1455,308.344927644506,1,782.601582977317
"1...199",10,165,15,"time-trialist",382.014826073375,191.007413036687,1635,304.531802559291,1,766.47288757241
"1...200",11,165,15,"time-trialist",382.014826073375,191.007413036687,1815,301.193708785972,1,752.559295790126
"1...201",12,165,15,"time-trialist",382.014826073375,191.007413036687,1995,298.225485916934,1,740.334818686455
"1...202",13,165,15,"time-trialist",382.014826073375,191.007413036687,2175,295.55320196407,1,729.438271035496
"1...203",14,165,15,"time-trialist",382.014826073375,191.007413036687,2355,293.122979143606,1,719.611689273959
"1...204",15,165,15,"time-trialist",382.014826073375,191.007413036687,2535,290.894380472556,1,710.664819034048
"1...205",16,165,15,"time-trialist",382.014826073375,191.007413036687,2715,288.836301812046,1,702.453545137099
"1...206",17,165,15,"time-trialist",382.014826073375,191.007413036687,2895,286.924315241011,1,694.866213530724
"1...207",18,165,15,"time-trialist",382.014826073375,191.007413036687,3075,285.138891380816,1,687.814636824846
"1...208",19,165,15,"time-trialist",382.014826073375,191.007413036687,3255,283.464174559121,1,681.227993113883
"1...209",20,165,15,"time-trialist",382.014826073375,191.007413036687,3435,281.887117217703,1,675.048574737387
"1...210",2,180,15,"time-trialist",382.014826073375,191.007413036687,210,395.774168846288,1,1466.80515999729
"1...211",3,180,15,"time-trialist",382.014826073375,191.007413036687,405,362.549129520276,1,1091.7060762392
"1...212",4,180,15,"time-trialist",382.014826073375,191.007413036687,600,342.293177455806,1,969.605301446941
"1...213",5,180,15,"time-trialist",382.014826073375,191.007413036687,795,330.22429377022,1,905.894481441181
"1...214",6,180,15,"time-trialist",382.014826073375,191.007413036687,990,321.776726180244,1,864.390953607144
"1...215",7,180,15,"time-trialist",382.014826073375,191.007413036687,1185,315.320298626306,1,834.107918182963
"1...216",8,180,15,"time-trialist",382.014826073375,191.007413036687,1380,310.108607102236,1,810.450446555577
"1...217",9,180,15,"time-trialist",382.014826073375,191.007413036687,1575,305.743655508507,1,791.114270860893
"1...218",10,180,15,"time-trialist",382.014826073375,191.007413036687,1770,301.990095518328,1,774.797758121332
"1...219",11,180,15,"time-trialist",382.014826073375,191.007413036687,1965,298.697935176279,1,760.700771152293
"1...220",12,180,15,"time-trialist",382.014826073375,191.007413036687,2160,295.766006656671,1,748.299333778652
"1...221",13,180,15,"time-trialist",382.014826073375,191.007413036687,2355,293.122979143606,1,737.233044575453
"1...222",14,180,15,"time-trialist",382.014826073375,191.007413036687,2550,290.716736214999,1,727.244098796415
"1...223",15,180,15,"time-trialist",382.014826073375,191.007413036687,2745,288.508072451963,1,718.142083395085
"1...224",16,180,15,"time-trialist",382.014826073375,191.007413036687,2940,286.46676848169,1,709.782568799243
"1...225",17,180,15,"time-trialist",382.014826073375,191.007413036687,3135,284.569046916095,1,702.05351775801
"1...226",18,180,15,"time-trialist",382.014826073375,191.007413036687,3330,282.795866387604,1,694.866337944621
"1...227",19,180,15,"time-trialist",382.014826073375,191.007413036687,3525,281.131743800488,1,688.149806067842
"1...228",20,180,15,"time-trialist",382.014826073375,191.007413036687,3720,279.563920483525,1,681.845829790233
"1...229",2,195,15,"time-trialist",382.014826073375,191.007413036687,225,392.707883059244,1,1489.28869368777
"1...230",3,195,15,"time-trialist",382.014826073375,191.007413036687,435,358.491075168214,1,1099.79402007778
"1...231",4,195,15,"time-trialist",382.014826073375,191.007413036687,645,339.033961583217,1,978.214584877092
"1...232",5,195,15,"time-trialist",382.014826073375,191.007413036687,855,327.342730817594,1,914.533753035351
"1...233",6,195,15,"time-trialist",382.014826073375,191.007413036687,1065,319.10982360125,1,872.9020604391
"1...234",7,195,15,"time-trialist",382.014826073375,191.007413036687,1275,312.789501681228,1,842.43598815151
"1...235",8,195,15,"time-trialist",382.014826073375,191.007413036687,1485,307.670617471635,1,818.578605908162
"1...236",9,195,15,"time-trialist",382.014826073375,191.007413036687,1695,303.372326808902,1,799.041097061595
"1...237",10,195,15,"time-trialist",382.014826073375,191.007413036687,1905,299.668555844061,1,782.528364054456
"1...238",11,195,15,"time-trialist",382.014826073375,191.007413036687,2115,296.414733432289,1,768.2429479788
"1...239",12,195,15,"time-trialist",382.014826073375,191.007413036687,2325,293.513055573449,1,755.661785730875
"1...240",13,195,15,"time-trialist",382.014826073375,191.007413036687,2535,290.894380472556,1,744.424559320736
"1...241",14,195,15,"time-trialist",382.014826073375,191.007413036687,2745,288.508072451963,1,734.273160382634
"1...242",15,195,15,"time-trialist",382.014826073375,191.007413036687,2955,286.315960466632,1,725.016702679031
"1...243",16,195,15,"time-trialist",382.014826073375,191.007413036687,3165,284.288567595244,1,716.510223011067
"1...244",17,195,15,"time-trialist",382.014826073375,191.007413036687,3375,282.402661896498,1,708.641144927287
"1...245",18,195,15,"time-trialist",382.014826073375,191.007413036687,3585,280.639610864214,1,701.320358208785
"1...246",19,195,15,"time-trialist",382.014826073375,191.007413036687,3795,278.984243321779,1,694.476155180355
"1...247",20,195,15,"time-trialist",382.014826073375,191.007413036687,4005,277.424042282221,1,688.049997079514
"1...248",2,210,15,"time-trialist",382.014826073375,191.007413036687,240,390.030136907777,1,1511.36790113037
"1...249",3,210,15,"time-trialist",382.014826073375,191.007413036687,465,354.870180876606,1,1107.7704535444
"1...250",4,210,15,"time-trialist",382.014826073375,191.007413036687,690,336.098710183323,1,986.501879523469
"1...251",5,210,15,"time-trialist",382.014826073375,191.007413036687,915,324.730232533785,1,922.757911011195
"1...252",6,210,15,"time-trialist",382.014826073375,191.007413036687,1140,316.680249100356,1,880.949632878436
"1...253",7,210,15,"time-trialist",382.014826073375,191.007413036687,1365,310.475649072786,1,850.273126117952
"1...254",8,210,15,"time-trialist",382.014826073375,191.007413036687,1590,305.435523628867,1,826.199658122026
"1...255",9,210,15,"time-trialist",382.014826073375,191.007413036687,1815,301.193708785972,1,806.451161544577
"1...256",10,210,15,"time-trialist",382.014826073375,191.007413036687,2040,297.532055490726,1,789.736577008979
"1...257",11,210,15,"time-trialist",382.014826073375,191.007413036687,2265,294.310618136526,1,775.259695045555
"1...258",12,210,15,"time-trialist",382.014826073375,191.007413036687,2490,291.434459620643,1,762.497500285474
"1...259",13,210,15,"time-trialist",382.014826073375,191.007413036687,2715,288.836301812046,1,751.089210165454
"1...260",14,210,15,"time-trialist",382.014826073375,191.007413036687,2940,286.46676848169,1,740.776052971937
"1...261",15,210,15,"time-trialist",382.014826073375,191.007413036687,3165,284.288567595244,1,731.366426121349
"1...262",16,210,15,"time-trialist",382.014826073375,191.007413036687,3390,282.272852647968,1,722.714664407848
"1...263",17,210,15,"time-trialist",382.014826073375,191.007413036687,3615,280.396854480376,1,714.707533212436
"1...264",18,210,15,"time-trialist",382.014826073375,191.007413036687,3840,278.642287228926,1,707.255318950136
"1...265",19,210,15,"time-trialist",382.014826073375,191.007413036687,4065,276.994243984948,1,700.285767290582
"1...266",20,210,15,"time-trialist",382.014826073375,191.007413036687,4290,275.44041238698,1,693.739847155688
"1...267",2,225,15,"time-trialist",382.014826073375,191.007413036687,255,387.670497977791,1,1533.05798181502
"1...268",3,225,15,"time-trialist",382.014826073375,191.007413036687,495,351.610031959207,1,1115.61118817867
