"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"7187",7,345,255,"moyenne",331.614571833768,165.807285916884,3855,234.315010853143,273.965834390045
"7188",8,345,255,"moyenne",331.614571833768,165.807285916884,4455,230.737539896691,269.756307014625
"7189",9,345,255,"moyenne",331.614571833768,165.807285916884,5055,227.646172105806,265.999720642674
"7190",1,360,255,"moyenne",331.614571833768,165.807285916884,255,338.257392774418,338.257392774418
"7191",2,360,255,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,312.518743212814
"7192",3,360,255,"moyenne",331.614571833768,165.807285916884,1485,259.822434292634,300.324925633318
"7193",4,360,255,"moyenne",331.614571833768,165.807285916884,2100,250.027646500156,291.754833619505
"7194",5,360,255,"moyenne",331.614571833768,165.807285916884,2715,243.21442951649,284.999102493105
"7195",6,360,255,"moyenne",331.614571833768,165.807285916884,3330,237.986339805435,279.382341640287
"7196",7,360,255,"moyenne",331.614571833768,165.807285916884,3945,233.74119656305,274.557918311989
"7197",8,360,255,"moyenne",331.614571833768,165.807285916884,4560,230.165424101384,270.319801009901
"7198",9,360,255,"moyenne",331.614571833768,165.807285916884,5175,227.075115921954,266.534315472247
"7199",1,15,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7200",2,15,270,"moyenne",331.614571833768,165.807285916884,555,295.58244689137,297.41475146889
"7201",3,15,270,"moyenne",331.614571833768,165.807285916884,840,278.483867386929,280.711515792809
"7202",4,15,270,"moyenne",331.614571833768,165.807285916884,1125,268.406023844203,270.763516534192
"7203",5,15,270,"moyenne",331.614571833768,165.807285916884,1410,261.366260037089,263.766704937113
"7204",6,15,270,"moyenne",331.614571833768,165.807285916884,1695,255.983987600905,258.391090124512
"7205",7,15,270,"moyenne",331.614571833768,165.807285916884,1980,251.635135325039,254.031633915712
"7206",8,15,270,"moyenne",331.614571833768,165.807285916884,2265,247.988918993664,250.366003470365
"7207",9,15,270,"moyenne",331.614571833768,165.807285916884,2550,244.850262081434,247.203303334638
"7208",10,15,270,"moyenne",331.614571833768,165.807285916884,2835,242.094963572591,244.421560525806
"7209",11,15,270,"moyenne",331.614571833768,165.807285916884,3120,239.639259305217,241.938261556974
"7210",12,15,270,"moyenne",331.614571833768,165.807285916884,3405,237.424065754501,239.695050381544
"7211",13,15,270,"moyenne",331.614571833768,165.807285916884,3690,235.406186142385,237.649162753842
"7212",14,15,270,"moyenne",331.614571833768,165.807285916884,3975,233.553099239888,235.768336882725
"7213",15,15,270,"moyenne",331.614571833768,165.807285916884,4260,231.83971662771,234.02763897699
"7214",16,15,270,"moyenne",331.614571833768,165.807285916884,4545,230.246281249909,232.407401610968
"7215",17,15,270,"moyenne",331.614571833768,165.807285916884,4830,228.756958098974,230.891838390245
"7216",18,15,270,"moyenne",331.614571833768,165.807285916884,5115,227.358860958694,229.468085533773
"7217",19,15,270,"moyenne",331.614571833768,165.807285916884,5400,226.04136302621,228.125521884806
"7218",1,30,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7219",2,30,270,"moyenne",331.614571833768,165.807285916884,570,294.352147156453,297.961823375779
"7220",3,30,270,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,281.574537605253
"7221",4,30,270,"moyenne",331.614571833768,165.807285916884,1170,267.142820643783,271.761215824881
"7222",5,30,270,"moyenne",331.614571833768,165.807285916884,1470,260.122987313076,264.820456578087
"7223",6,30,270,"moyenne",331.614571833768,165.807285916884,1770,254.756258549868,259.46316056152
"7224",7,30,270,"moyenne",331.614571833768,165.807285916884,2070,250.418930179536,255.102310955382
"7225",8,30,270,"moyenne",331.614571833768,165.807285916884,2370,246.781240012437,251.424387498683
"7226",9,30,270,"moyenne",331.614571833768,165.807285916884,2670,243.648949930019,248.243164341305
"7227",10,30,270,"moyenne",331.614571833768,165.807285916884,2970,240.898459547653,245.439297549162
"7228",11,30,270,"moyenne",331.614571833768,165.807285916884,3270,238.446424309792,242.93182327505
"7229",12,30,270,"moyenne",331.614571833768,165.807285916884,3570,236.234054904718,240.663330861365
"7230",13,30,270,"moyenne",331.614571833768,165.807285916884,3870,234.218363482976,238.591647470004
"7231",14,30,270,"moyenne",331.614571833768,165.807285916884,4170,232.366979470505,236.684887577113
"7232",15,30,270,"moyenne",331.614571833768,165.807285916884,4470,230.654924782468,234.918358929322
"7233",16,30,270,"moyenne",331.614571833768,165.807285916884,4770,229.062524373947,233.27254918887
"7234",17,30,270,"moyenne",331.614571833768,165.807285916884,5070,227.57400504083,231.731770482773
"7235",18,30,270,"moyenne",331.614571833768,165.807285916884,5370,226.176527734321,230.283219966311
"7236",1,45,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7237",2,45,270,"moyenne",331.614571833768,165.807285916884,585,293.173639914741,298.50911556674
"7238",3,45,270,"moyenne",331.614571833768,165.807285916884,900,275.985125893854,282.423790204478
"7239",4,45,270,"moyenne",331.614571833768,165.807285916884,1215,265.944380090765,272.734889907053
