X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...2673,4,180,255,pursuiter,416.548283671423,208.274141835712,1560,306.551982922224,1,341.145163851034,80.58088865193474,81.89810814828188,1020
1...2674,5,180,255,pursuiter,416.548283671423,208.274141835712,1995,294.192415225629,1,328.850281166121,77.67675083143148,78.94649769473568,1275
1...2675,6,180,255,pursuiter,416.548283671423,208.274141835712,2430,284.550392542688,1,318.92590267799,75.33254278561276,76.56396993573057,1530
1...2676,7,180,255,pursuiter,416.548283671423,208.274141835712,2865,276.640627127329,1,310.596472292584,73.36507270676523,74.56433850957485,1785
1...2677,8,180,255,pursuiter,416.548283671423,208.274141835712,3300,269.932064631755,1,303.416048070082,71.66900597020219,72.84054693391062,2040
1...2678,9,180,255,pursuiter,416.548283671423,208.274141835712,3735,264.105835047731,1,297.103821267833,70.17801357460166,71.32518195710324,2295
1...2679,10,180,255,pursuiter,416.548283671423,208.274141835712,4170,258.955440700423,1,291.47120997674,68.8475511458117,69.9729710581775,2550
1...2680,11,180,255,pursuiter,416.548283671423,208.274141835712,4605,254.339460741717,1,286.385313303036,67.64622655737949,68.75200895772728,2805
1...2681,12,180,255,pursuiter,416.548283671423,208.274141835712,5040,250.156775876105,1,281.748885969762,66.55106979048338,67.63895015637804,3060
1...2682,2,210,255,pursuiter,416.548283671423,208.274141835712,720,349.658309496069,1,382.568103708645,90.36527857739031,91.84243908934651,510
1...2683,3,210,255,pursuiter,416.548283671423,208.274141835712,1185,320.974046834448,1,358.666815227959,84.71962602303974,86.10449959526866,765
1...2684,4,210,255,pursuiter,416.548283671423,208.274141835712,1650,303.694687118433,1,342.447416844602,80.88848997416007,82.21073769079015,1020
1...2685,5,210,255,pursuiter,416.548283671423,208.274141835712,2115,291.315366233832,1,330.088019268193,77.96911328223518,79.24363926285419,1275
1...2686,6,210,255,pursuiter,416.548283671423,208.274141835712,2580,281.660268287648,1,320.081345450797,75.60546650045661,76.84135501162694,1530
1...2687,7,210,255,pursuiter,416.548283671423,208.274141835712,3045,273.740561669729,1,311.666279310346,73.6177686535704,74.82116516321818,1785
1...2688,8,210,255,pursuiter,416.548283671423,208.274141835712,3510,267.023911222047,1,304.402114077544,71.90192170101245,73.0772700332764,2040
1...2689,9,210,255,pursuiter,416.548283671423,208.274141835712,3975,261.190853120717,1,298.009931242122,70.3920431276528,71.54271015486763,2295
1...2690,10,210,255,pursuiter,416.548283671423,208.274141835712,4440,256.034560288764,1,292.301709762975,69.04372104030648,70.17234765359042,2550
1...2691,11,210,255,pursuiter,416.548283671423,208.274141835712,4905,251.413404855998,1,287.144558933988,67.8255657189158,68.93427969576994,2805
1...2692,12,210,255,pursuiter,416.548283671423,208.274141835712,5370,247.226125871894,1,282.4410184471,66.71455635279948,67.80510915990043,3060
1...2693,2,240,255,pursuiter,416.548283671423,208.274141835712,750,347.141830855882,1,383.615683374472,90.61272426723423,92.09392966244255,510
1...2694,3,240,255,pursuiter,416.548283671423,208.274141835712,1245,318.325780901051,1,359.901348993492,85.0112315870011,86.40087190405647,765
1...2695,4,240,255,pursuiter,416.548283671423,208.274141835712,1740,301.011542452305,1,343.662633392676,81.1755326754047,82.50247254979934,1020
1...2696,5,240,255,pursuiter,416.548283671423,208.274141835712,2235,288.614573449301,1,331.23094327706,78.23907997693044,79.5180189815253,1275
1...2697,6,240,255,pursuiter,416.548283671423,208.274141835712,2730,278.947542200724,1,321.138417081752,75.8551542592674,77.0951243037815,1530
1...2698,7,240,255,pursuiter,416.548283671423,208.274141835712,3225,271.018666797826,1,312.636381574999,73.84691363597773,75.05405587545509,1785
1...2699,8,240,255,pursuiter,416.548283671423,208.274141835712,3720,264.294524542709,1,305.288385267269,72.11126519352591,73.29003556958195,2040
1...2700,9,240,255,pursuiter,416.548283671423,208.274141835712,4215,258.455133476926,1,298.816880416551,70.58265020189181,71.73643299710734,2295
1...2701,10,240,255,pursuiter,416.548283671423,208.274141835712,4710,253.293371639087,1,293.034114141553,69.21672010912563,70.34817466027562,2550
1...2702,11,240,255,pursuiter,416.548283671423,208.274141835712,5205,248.667422137365,1,287.807032977104,67.98204675033513,69.09331865213703,2805
1...2703,2,270,255,pursuiter,416.548283671423,208.274141835712,780,344.757045264523,1,384.628963089137,90.85206806721358,92.3371859077292,510
1...2704,3,270,255,pursuiter,416.548283671423,208.274141835712,1305,315.827362761458,1,361.070470704178,85.28738636324317,86.68154085805658,765
1...2705,4,270,255,pursuiter,416.548283671423,208.274141835712,1830,298.482523309408,1,344.798509359394,81.44383457294084,82.77516025762193,1020
1...2706,5,270,255,pursuiter,416.548283671423,208.274141835712,2355,286.069592222831,1,332.288237695706,78.4888203597618,79.7718417579216,1275
1...2707,6,270,255,pursuiter,416.548283671423,208.274141835712,2880,276.391569346579,1,322.107195091408,76.08398644332446,77.32769710449439,1530
