X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...110,16,180,15,faible,350.281232790258,175.140616395129,2940,0,810.666603224388,84.24393821594872,231.43306787143817,240
1...111,17,180,15,faible,350.281232790258,175.140616395129,3135,0,808.213430965388,83.9890061743446,230.7327242534091,255
1...112,18,180,15,faible,350.281232790258,175.140616395129,3330,0,806.315777116172,83.79180323913945,230.1909727487396,270
1...113,19,180,15,faible,350.281232790258,175.140616395129,3525,0,804.845385977818,83.63900116277406,229.77119829304263,285
1...114,20,180,15,faible,350.281232790258,175.140616395129,3720,0,803.704579677353,83.52044932517464,229.44551532927733,300
1...115,2,210,15,faible,350.281232790258,175.140616395129,240,0,1746.58597263587,181.50406120387765,498.6239082016974,30
1...116,3,210,15,faible,350.281232790258,175.140616395129,465,0,1367.66047271037,142.12637341311094,390.44640268503906,45
1...117,4,210,15,faible,350.281232790258,175.140616395129,690,0,1188.48424241431,123.50649785046883,339.294295885373,60
1...118,5,210,15,faible,350.281232790258,175.140616395129,915,0,1087.46261779888,113.00839731354391,310.4541482672104,75
1...119,6,210,15,faible,350.281232790258,175.140616395129,1140,0,1024.80636896083,106.497201299102,292.5667358189485,90
1...120,7,210,15,faible,350.281232790258,175.140616395129,1365,0,983.621924809005,102.21734105225748,280.8091992179266,105
1...121,8,210,15,faible,350.281232790258,175.140616395129,1590,0,955.508574368258,99.29582023450887,272.7832623965895,120
1...122,9,210,15,faible,350.281232790258,175.140616395129,1815,0,935.819435413559,97.24973791283985,267.1623106836302,135
1...123,10,210,15,faible,350.281232790258,175.140616395129,2040,0,921.781314867532,95.7909056934741,263.15463935216815,150
1...124,11,210,15,faible,350.281232790258,175.140616395129,2265,0,911.644172666417,94.73746056833843,260.2606384031693,165
1...125,12,210,15,faible,350.281232790258,175.140616395129,2490,0,904.256557771771,93.96974450569027,258.1515859609936,180
1...126,13,210,15,faible,350.281232790258,175.140616395129,2715,0,898.836656256938,93.40651191841452,256.6042859610309,195
