"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...175",6,300,15,"elevee",331.614571833768,165.807285916884,1590,0,1332.36233163191
"1...176",7,300,15,"elevee",331.614571833768,165.807285916884,1905,0,1327.22512282959
"1...177",8,300,15,"elevee",331.614571833768,165.807285916884,2220,0,1324.93380230156
"1...178",9,300,15,"elevee",331.614571833768,165.807285916884,2535,0,1323.90795402892
"1...179",10,300,15,"elevee",331.614571833768,165.807285916884,2850,0,1323.44789527699
"1...180",11,300,15,"elevee",331.614571833768,165.807285916884,3165,0,1323.24141813432
"1...181",12,300,15,"elevee",331.614571833768,165.807285916884,3480,0,1323.14871848805
"1...182",13,300,15,"elevee",331.614571833768,165.807285916884,3795,0,1323.10709386176
"1...183",14,300,15,"elevee",331.614571833768,165.807285916884,4110,0,1323.08840200988
"1...184",15,300,15,"elevee",331.614571833768,165.807285916884,4425,0,1323.08000803515
"1...185",16,300,15,"elevee",331.614571833768,165.807285916884,4740,0,1323.07623848978
"1...186",17,300,15,"elevee",331.614571833768,165.807285916884,5055,0,1323.07454566119
"1...187",18,300,15,"elevee",331.614571833768,165.807285916884,5370,0,1323.0737854431
"1...188",2,30,30,"elevee",331.614571833768,165.807285916884,90,0,741.868287076647
"1...189",3,30,30,"elevee",331.614571833768,165.807285916884,150,0,586.372410111389
"1...190",4,30,30,"elevee",331.614571833768,165.807285916884,210,0,509.496791823803
"1...191",5,30,30,"elevee",331.614571833768,165.807285916884,270,0,463.763850330129
"1...192",6,30,30,"elevee",331.614571833768,165.807285916884,330,0,433.51763854264
"1...193",7,30,30,"elevee",331.614571833768,165.807285916884,390,0,412.089477793052
"1...194",8,30,30,"elevee",331.614571833768,165.807285916884,450,0,396.158307226474
"1...195",9,30,30,"elevee",331.614571833768,165.807285916884,510,0,383.884248177599
"1...196",10,30,30,"elevee",331.614571833768,165.807285916884,570,0,374.165633904228
"1...197",11,30,30,"elevee",331.614571833768,165.807285916884,630,0,366.30248136424
"1...198",12,30,30,"elevee",331.614571833768,165.807285916884,690,0,359.828678387598
"1...199",13,30,30,"elevee",331.614571833768,165.807285916884,750,0,354.42181476011
"1...200",14,30,30,"elevee",331.614571833768,165.807285916884,810,0,349.851746085384
"1...201",15,30,30,"elevee",331.614571833768,165.807285916884,870,0,345.949776366264
"1...202",16,30,30,"elevee",331.614571833768,165.807285916884,930,0,342.589420468832
"1...203",17,30,30,"elevee",331.614571833768,165.807285916884,990,0,339.673969242812
"1...204",18,30,30,"elevee",331.614571833768,165.807285916884,1050,0,337.128207074061
