"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...185",15,150,15,"all around",391.34815655162,195.67407827581,2325,279.993872631653,1,644.278585369959
"1...186",16,150,15,"all around",391.34815655162,195.67407827581,2490,277.369172446844,1,634.283775978738
"1...187",17,150,15,"all around",391.34815655162,195.67407827581,2655,274.933375197904,1,625.047559477185
"1...188",18,150,15,"all around",391.34815655162,195.67407827581,2820,272.660988238274,1,616.462912542049
"1...189",19,150,15,"all around",391.34815655162,195.67407827581,2985,270.531346142754,1,608.443844151747
"1...190",20,150,15,"all around",391.34815655162,195.67407827581,3150,268.527467992241,1,600.920256997643
"1...191",2,165,15,"all around",391.34815655162,195.67407827581,195,413.680628603618,1,1502.65405699292
"1...192",3,165,15,"all around",391.34815655162,195.67407827581,375,372.786525388158,1,1096.22704581147
"1...193",4,165,15,"all around",391.34815655162,195.67407827581,555,346.196733478434,1,951.612307615723
"1...194",5,165,15,"all around",391.34815655162,195.67407827581,735,330.430156974839,1,875.372017354902
"1...195",6,165,15,"all around",391.34815655162,195.67407827581,915,319.445182776838,1,825.436189562286
"1...196",7,165,15,"all around",391.34815655162,195.67407827581,1095,311.082744104849,1,788.87973379132
"1...197",8,165,15,"all around",391.34815655162,195.67407827581,1275,304.355094715928,1,760.258630890567
"1...198",9,165,15,"all around",391.34815655162,195.67407827581,1455,298.736378992287,1,736.829454136547
"1...199",10,165,15,"all around",391.34815655162,195.67407827581,1635,293.916230090444,1,717.036904081245
"1...200",11,165,15,"all around",391.34815655162,195.67407827581,1815,289.697242600928,1,699.92224757996
"1...201",12,165,15,"all around",391.34815655162,195.67407827581,1995,285.946537108944,1,684.856259742803
"1...202",13,165,15,"all around",391.34815655162,195.67407827581,2175,282.57060775105,1,671.405366725026
"1...203",14,165,15,"all around",391.34815655162,195.67407827581,2355,279.501265021272,1,659.258958544899
"1...204",15,165,15,"all around",391.34815655162,195.67407827581,2535,276.687304048194,1,648.18733282215
"1...205",16,165,15,"all around",391.34815655162,195.67407827581,2715,274.089323046254,1,638.016073079493
