X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...440,12,120,45,faible,350.281232790258,175.140616395129,1860,244.541169551539,1,344.404334908689,52.870521714839114,98.32223444152146,540
1...441,13,120,45,faible,350.281232790258,175.140616395129,2025,241.49211540214,1,339.794067963387,52.162786085705946,97.00607287940245,585
1...442,14,120,45,faible,350.281232790258,175.140616395129,2190,238.736997430221,1,335.609935467861,51.52046760843961,95.81156626476135,630
1...443,15,120,45,faible,350.281232790258,175.140616395129,2355,236.224665087438,1,331.780028976296,50.932527406171914,94.71818582269289,675
1...444,16,120,45,faible,350.281232790258,175.140616395129,2520,233.91608907045,1,328.249087476801,50.3904821985459,93.71015536917176,720
1...445,17,120,45,faible,350.281232790258,175.140616395129,2685,231.780851899485,1,324.973765606989,49.88767791158216,92.77510045808745,765
1...446,18,120,45,faible,350.281232790258,175.140616395129,2850,229.794812153135,1,321.919460550945,49.41880256530602,91.90314250826692,810
1...447,19,120,45,faible,350.281232790258,175.140616395129,3015,227.938504042358,1,319.058122909535,48.97955021401443,91.08627384002075,855
1...448,20,120,45,faible,350.281232790258,175.140616395129,3180,226.196012768395,1,316.366708639825,48.566383298946256,90.31791572723498,900
1...449,2,150,45,faible,350.281232790258,175.140616395129,240,364.36097863776,1,517.694836103873,79.47285588361319,147.79405450301678,90
1...450,3,150,45,faible,350.281232790258,175.140616395129,435,317.627871669507,1,462.53501075279,71.005108969845793,132.04675770618505,135
1...451,4,150,45,faible,350.281232790258,175.140616395129,630,293.11089830392,1,429.346672595007,65.91026963306537,122.5719885632845,180
1...452,5,150,45,faible,350.281232790258,175.140616395129,825,278.606225428286,1,408.804582135053,62.75679294985482,116.70753208175377,225
1...453,6,150,45,faible,350.281232790258,175.140616395129,1020,268.587522022445,1,394.192505841754,60.51365017068924,112.53600505562605,270
1...454,7,150,45,faible,350.281232790258,175.140616395129,1215,261.029955999621,1,382.937320057917,58.78583352010419,109.32281955488403,315
1...455,8,150,45,faible,350.281232790258,175.140616395129,1410,254.999734659714,1,373.815209909307,57.385471579755475,106.7185949220239,360
1...456,9,150,45,faible,350.281232790258,175.140616395129,1605,249.99925456706,1,366.158446516899,56.21005932685505,104.53270464996565,405
1...457,10,150,45,faible,350.281232790258,175.140616395129,1800,245.735514355995,1,359.566281228607,55.198076657952655,102.65074105294951,450
1...458,11,150,45,faible,350.281232790258,175.140616395129,1995,242.022885897304,1,353.780745269748,54.30992202823251,100.9990579431315,495
1...459,12,150,45,faible,350.281232790258,175.140616395129,2190,238.736997430221,1,348.62663073039,53.51869875647508,99.52763610922348,540
1...460,13,150,45,faible,350.281232790258,175.140616395129,2385,235.790758439656,1,343.979793507935,52.805349116609875,98.20103428547193,585
1...461,14,150,45,faible,350.281232790258,175.140616395129,2580,233.120969251543,1,339.749207733547,52.155899459971344,96.99326596152031,630
