"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...95",6,180,15,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,1,563.714833117667
"1...96",7,180,15,"moyenne",331.614571833768,165.807285916884,1185,266.736462247848,1,536.567528765995
"1...97",8,180,15,"moyenne",331.614571833768,165.807285916884,1380,262.014106032336,1,515.537718413061
"1...98",9,180,15,"moyenne",331.614571833768,165.807285916884,1575,258.097681829154,1,498.465362032094
"1...99",10,180,15,"moyenne",331.614571833768,165.807285916884,1770,254.756258549868,1,484.138303523319
"1...100",11,180,15,"moyenne",331.614571833768,165.807285916884,1965,251.844350760188,1,471.816121897094
"1...101",12,180,15,"moyenne",331.614571833768,165.807285916884,2160,249.264835722742,1,461.016819502511
"1...102",13,180,15,"moyenne",331.614571833768,165.807285916884,2355,246.94986192372,1,451.410685261101
"1...103",14,180,15,"moyenne",331.614571833768,165.807285916884,2550,244.850262081434,1,442.763056229728
"1...104",15,180,15,"moyenne",331.614571833768,165.807285916884,2745,242.92932242812,1,434.901412489466
"1...105",16,180,15,"moyenne",331.614571833768,165.807285916884,2940,241.158932660462,1,427.695450542521
"1...106",17,180,15,"moyenne",331.614571833768,165.807285916884,3135,239.517108211305,1,421.044483357824
"1...107",18,180,15,"moyenne",331.614571833768,165.807285916884,3330,237.986339805435,1,414.869177230802
"1...108",19,180,15,"moyenne",331.614571833768,165.807285916884,3525,236.552461105414,1,409.105960995966
"1...109",2,210,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,1165.45113415035
"1...110",3,210,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,1,796.709489911866
"1...111",4,210,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,680.748154567351
"1...112",5,210,15,"moyenne",331.614571833768,165.807285916884,915,275.398334586777,1,620.63042225681
"1...113",6,210,15,"moyenne",331.614571833768,165.807285916884,1140,267.977348490397,1,581.707253953339
"1...114",7,210,15,"moyenne",331.614571833768,165.807285916884,1365,262.345006548907,1,553.439111153267
"1...115",8,210,15,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,531.433008748796
"1...116",9,210,15,"moyenne",331.614571833768,165.807285916884,1815,254.050296108215,1,513.49463972139
"1...117",10,210,15,"moyenne",331.614571833768,165.807285916884,2040,250.817106832969,1,498.389096991071
"1...118",11,210,15,"moyenne",331.614571833768,165.807285916884,2265,247.988918993664,1,485.35979766593
"1...119",12,210,15,"moyenne",331.614571833768,165.807285916884,2490,245.475756318448,1,473.9127538553
"1...120",13,210,15,"moyenne",331.614571833768,165.807285916884,2715,243.21442951649,1,463.709078606342
"1...121",14,210,15,"moyenne",331.614571833768,165.807285916884,2940,241.158932660462,1,454.506916905959
"1...122",15,210,15,"moyenne",331.614571833768,165.807285916884,3165,239.274765534402,1,446.128001621186
"1...123",16,210,15,"moyenne",331.614571833768,165.807285916884,3390,237.535410308645,1,438.437361888917
"1...124",17,210,15,"moyenne",331.614571833768,165.807285916884,3615,235.920054947958,1,431.330467659016
"1...125",18,210,15,"moyenne",331.614571833768,165.807285916884,3840,234.412071013691,1,424.724782877471
"1...126",19,210,15,"moyenne",331.614571833768,165.807285916884,4065,232.997965593484,1,418.554039693793
"1...127",2,240,15,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,1,1226.95020357547
"1...128",3,240,15,"moyenne",331.614571833768,165.807285916884,525,298.21538279815,1,820.432695427013
"1...129",4,240,15,"moyenne",331.614571833768,165.807285916884,780,281.263010823851,1,701.45747521436
"1...130",5,240,15,"moyenne",331.614571833768,165.807285916884,1035,271.155939940061,1,639.427120916974
"1...131",6,240,15,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,1,599.037621260716
"1...132",7,240,15,"moyenne",331.614571833768,165.807285916884,1545,258.658244445777,1,569.562783404475
"1...133",8,240,15,"moyenne",331.614571833768,165.807285916884,1800,254.283183026765,1,546.525847612536
"1...134",9,240,15,"moyenne",331.614571833768,165.807285916884,2055,250.617141822035,1,527.685649655632
"1...135",10,240,15,"moyenne",331.614571833768,165.807285916884,2310,247.4634156428,1,511.777686843095
"1...136",11,240,15,"moyenne",331.614571833768,165.807285916884,2565,244.696557874279,1,498.025217696509
