"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...54",21,70,60,90,"moyenne",287.074791960115,2.34893786687458,5.34914389453581,3.74440072617506,231.069145200416,148.177721099902,3090,206.674980378185,247.731618842695,1,282.900101454362,-51.830956253946,51.830956253946,-20.1688939917293
"1...55",2,95,420,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,5.01976967244324,313.002200905333,145.970717458927,630,235.148431966247,278.69032353538,1,376.759768843356,-63.7575679380236,63.7575679380236,-18.4868319026789
"1...56",3,90,300,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,4.75557126863044,295.308977053402,146.117851034992,915,226.104436452803,271.206169582855,1,360.742753577931,-65.4337765245291,65.4337765245291,-19.9477490781285
"1...57",5,85,240,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,4.49137286481764,277.939778753579,146.246592914049,1485,216.662713726757,261.728193632031,1,343.147393554625,-65.2076148010463,65.2076148010463,-20.9978945656563
"1...58",7,82.5,180,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,4.35927366291124,269.371710045766,146.461162712477,1815,217.204516975184,257.859674968679,1,325.807884534031,-56.4361744882648,56.4361744882648,-18.964418472078
"1...59",9,80,120,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,4.22717446100484,260.87867275805,146.890302309333,1905,220.400036062245,256.931079992072,1,308.600801521015,-47.722128762965,47.722128762965,-16.7599117855403
"1...60",12,77.5,120,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,4.09507525909843,252.458675234456,146.890302309333,2580,213.678572912605,251.146196286213,1,302.036332452743,-49.5776572182868,49.5776572182868,-17.8820932671965
"1...61",15,75,120,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,3.96297605719203,244.109725819007,146.890302309333,3255,207.365493235531,246.750130092212,1,296.833959619245,-52.7242338002379,52.7242338002379,-19.4934279554526
"1...62",18,72.5,60,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,3.83087685528563,235.829832855726,148.177721099902,2910,213.236051869335,248.865754557743,1,279.333321685642,-43.5034888299155,43.5034888299155,-16.8892081844033
"1...63",21,70,60,105,"moyenne",287.074791960115,2.34893786687458,5.28396807625604,3.69877765337923,227.617004688637,148.177721099902,3405,206.593708586626,245.901236041375,1,275.950437709032,-48.3334330203952,48.3334330203952,-19.1964090411652
"1...64",2,95,420,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,4.96613503943447,308.561250216099,145.970717458927,660,237.849155899352,277.746920474189,1,364.644048917735,-56.0827987016366,56.0827987016366,-16.6614252067815
"1...65",3,90,300,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,4.70475951104318,291.205959242825,146.117851034992,960,228.330427117988,270.256052274438,1,349.785633680432,-58.5796744376066,58.5796744376066,-18.27782925216
"1...66",5,85,240,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,4.4433839826519,274.160252900242,146.246592914049,1560,218.48291168283,260.775518132383,1,333.23902875001,-59.0787758497687,59.0787758497687,-19.4530278960017
"1...67",7,82.5,180,120,"moyenne",287.074791960115,2.34893786687458,5.22751056782576,4.31269621845625,265.748672727851,146.461162712477,1920,218.634564982826,256.780750270843,1,317.073577522856,-51.3249047950052,51.3249047950052,-17.6125413101258
